listing_id,seller_id,listed_date,category,price
L0000039,S000005,2025-11-10,Fashion,91.34
L0000040,S000005,2025-11-24,Fashion,29.2
L0000041,S000005,2025-12-03,Fashion,7.89
L0000042,S000005,2025-11-20,Fashion,75.13
L0000043,S000005,2025-12-04,Fashion,60.06
L0000044,S000005,2025-11-10,Fashion,49.54
L0000045,S000006,2025-02-09,Beauty,72.24
L0000046,S000006,2025-02-02,Beauty,56.7
L0000047,S000006,2025-02-01,Beauty,45.68
L0000048,S000006,2025-02-17,Beauty,72.84
L0000049,S000007,2025-10-07,Toys,36.9
L0000050,S000007,2025-10-04,Toys,36.26
L0000051,S000007,2025-09-30,Toys,70.1
L0000052,S000007,2025-09-26,Toys,20.71
L0000053,S000007,2025-10-10,Toys,82.29
L0000054,S000007,2025-09-15,Toys,25.84
L0000055,S000008,2025-04-12,Automotive Parts,15.7
L0000056,S000008,2025-04-03,Automotive Parts,27.03
L0000057,S000008,2025-03-26,Automotive Parts,50.81
L0000058,S000009,2025-02-27,Sports,81.73
L0000059,S000009,2025-02-09,Sports,71.66
L0000060,S000009,2025-03-03,Sports,87.52
L0000061,S000009,2025-02-22,Sports,13.44
L0000062,S000009,2025-02-08,Sports,104.15
L0000063,S000010,2025-07-22,Books,15.22
L0000064,S000010,2025-08-02,Books,74.28
L0000065,S000010,2025-07-27,Books,30.64
L0000066,S000010,2025-07-25,Books,33.14
L0000067,S000010,2025-07-29,Books,49.43
L0000068,S000010,2025-07-27,Books,96.89
L0000069,S000010,2025-07-22,Books,96.75
L0000070,S000010,2025-07-16,Books,124.22
L0000071,S000010,2025-07-16,Books,61.79
L0000072,S000010,2025-07-26,Books,106.86
L0000073,S000010,2025-07-28,Books,82.51
L0000074,S000010,2025-07-13,Books,76.63
L0000075,S000010,2025-07-28,Books,41.42
L0000076,S000010,2025-07-24,Books,62.54
L0000077,S000011,2026-01-19,Grocery,55.04
L0000078,S000012,2025-10-03,Beauty,72.19
L0000079,S000012,2025-10-02,Beauty,40.87
L0000080,S000013,2025-10-07,Automotive Parts,75.68
L0000081,S000013,2025-10-30,Automotive Parts,100.5
L0000082,S000013,2025-10-21,Automotive Parts,69.27
L0000083,S000013,2025-10-23,Automotive Parts,101.89
L0000084,S000013,2025-10-19,Automotive Parts,34.16
L0000085,S000013,2025-10-12,Automotive Parts,45.74
L0000086,S000013,2025-10-06,Automotive Parts,75.92
L0000087,S000013,2025-10-16,Automotive Parts,68.95
L0000088,S000014,2025-09-28,Books,26.95
L0000089,S000014,2025-10-06,Books,80.85
L0000090,S000014,2025-10-03,Books,50.04
L0000091,S000014,2025-10-14,Books,22.94
L0000092,S000014,2025-09-20,Books,16.84
L0000093,S000014,2025-09-24,Books,37.58
L0000094,S000014,2025-09-30,Books,70.2
L0000095,S000014,2025-10-01,Books,29.38
L0000096,S000014,2025-09-28,Books,52.15
L0000097,S000014,2025-10-03,Books,34.42
L0000098,S000015,2025-11-02,Jewelry,46.76
L0000099,S000015,2025-10-17,Jewelry,30.62
L0000100,S000015,2025-11-01,Jewelry,23.52
L0000101,S000015,2025-10-23,Jewelry,53.62
L0000102,S000015,2025-11-10,Jewelry,122.68
L0000103,S000015,2025-10-14,Jewelry,28.08
L0000104,S000015,2025-11-09,Jewelry,38.54
L0000105,S000015,2025-11-12,Jewelry,53.16
L0000106,S000015,2025-10-29,Jewelry,42.97
L0000107,S000015,2025-10-18,Jewelry,44.89
L0000108,S000015,2025-10-25,Jewelry,17.05
L0000109,S000015,2025-11-11,Jewelry,68.34
L0000110,S000016,2025-07-07,Grocery,21.02
L0000111,S000016,2025-07-10,Grocery,87.67
L0000112,S000016,2025-07-25,Grocery,52.22
L0000113,S000016,2025-07-27,Grocery,62.65
L0000114,S000016,2025-07-21,Grocery,66.6
L0000115,S000016,2025-07-28,Grocery,36.49
L0000116,S000016,2025-07-07,Grocery,60.72
L0000117,S000016,2025-07-26,Grocery,110.58
L0000118,S000016,2025-07-31,Grocery,10.07
L0000119,S000016,2025-07-26,Grocery,31.36
L0000120,S000016,2025-08-05,Grocery,53.87
L0000121,S000016,2025-07-26,Grocery,78.4
L0000122,S000016,2025-08-03,Grocery,75.63
L0000123,S000017,2025-03-06,Books,42.26
L0000124,S000017,2025-03-16,Books,23.96
L0000125,S000017,2025-03-01,Books,194.94
L0000126,S000018,2025-11-20,Electronics,36.03
L0000127,S000018,2025-11-24,Electronics,45.37
L0000128,S000018,2025-11-19,Electronics,44.85
L0000129,S000018,2025-11-14,Electronics,49.07
L0000130,S000018,2025-11-16,Electronics,73.12
L0000131,S000018,2025-11-15,Electronics,27.73
L0000132,S000018,2025-11-22,Electronics,49.98
L0000133,S000019,2025-06-26,Sports,39.71
L0000134,S000019,2025-07-09,Sports,39.77
L0000135,S000019,2025-06-21,Sports,70.68
L0000136,S000019,2025-07-02,Sports,66.26
L0000137,S000019,2025-07-06,Sports,168.47
L0000138,S000019,2025-06-18,Sports,64.46
L0000139,S000019,2025-06-25,Sports,88.05
L0000140,S000019,2025-06-20,Sports,14.87
L0000141,S000019,2025-07-10,Sports,44.75
L0000142,S000019,2025-06-16,Sports,105.02
L0000143,S000019,2025-06-17,Sports,33.86
L0000144,S000019,2025-06-21,Sports,20.63
L0000145,S000020,2025-07-05,Fashion,61.13
L0000146,S000020,2025-07-21,Fashion,33.15
L0000147,S000020,2025-07-10,Fashion,56.91
L0000148,S000020,2025-07-16,Fashion,55.73
L0000149,S000020,2025-07-24,Fashion,55.99
L0000150,S000020,2025-07-14,Fashion,29.85
L0000151,S000020,2025-07-04,Fashion,34.44
L0000152,S000021,2025-06-05,Books,23.05
L0000153,S000022,2025-04-05,Grocery,46.77
L0000154,S000022,2025-03-09,Grocery,60.58
L0000155,S000022,2025-03-18,Grocery,77.56
L0000156,S000022,2025-03-13,Grocery,16.85
L0000157,S000022,2025-03-29,Grocery,77.34
L0000158,S000022,2025-03-30,Grocery,30.86
L0000159,S000022,2025-03-16,Grocery,45.41
L0000160,S000023,2025-12-25,Sports,54.15
L0000161,S000023,2025-12-08,Sports,181.33
L0000162,S000023,2025-12-26,Sports,47.19
L0000163,S000023,2025-12-22,Sports,74.48
L0000164,S000023,2025-12-22,Sports,78.31
L0000165,S000023,2025-12-18,Sports,43.43
L0000166,S000024,2025-11-03,Beauty,83.29
L0000167,S000024,2025-10-26,Beauty,53.47
L0000168,S000024,2025-10-30,Beauty,112.02
L0000169,S000024,2025-11-05,Beauty,80.15
L0000170,S000024,2025-10-15,Beauty,42.26
L0000171,S000024,2025-10-21,Beauty,67.83
L0000172,S000025,2025-09-02,Electronics,39.91
L0000173,S000025,2025-09-04,Electronics,46.71
L0000174,S000025,2025-09-13,Electronics,107.1
L0000175,S000026,2025-06-18,Books,54.15
L0000176,S000026,2025-06-01,Books,36.26
L0000177,S000026,2025-06-23,Books,34.63
L0000178,S000026,2025-05-31,Books,79.3
L0000179,S000026,2025-06-14,Books,21.1
L0000180,S000027,2025-11-05,Books,47.3
L0000181,S000027,2025-11-13,Books,29.15
L0000182,S000027,2025-11-14,Books,140.37
L0000183,S000027,2025-11-22,Books,100.98
L0000184,S000027,2025-11-11,Books,21.3
L0000185,S000027,2025-11-16,Books,8.87
L0000186,S000027,2025-11-21,Books,59.31
L0000187,S000028,2025-08-03,Toys,92.09
L0000188,S000028,2025-07-31,Toys,29.08
L0000189,S000028,2025-08-02,Toys,12.16
L0000190,S000028,2025-07-19,Toys,37.36
L0000191,S000028,2025-08-06,Toys,75.45
L0000192,S000028,2025-07-25,Toys,40.97
L0000193,S000028,2025-07-28,Toys,42.61
L0000194,S000028,2025-08-15,Toys,33.54
L0000195,S000028,2025-08-16,Toys,58.48
L0000196,S000029,2025-06-18,Grocery,66.41
L0000197,S000029,2025-07-02,Grocery,87.58
L0000198,S000029,2025-06-16,Grocery,29.56
L0000199,S000029,2025-07-04,Grocery,37.05
L0000200,S000029,2025-07-04,Grocery,56.94
L0000201,S000029,2025-06-25,Grocery,75.08
L0000202,S000029,2025-06-30,Grocery,11.3
L0000203,S000029,2025-06-13,Grocery,72.91
L0000204,S000029,2025-06-19,Grocery,11.15
L0000205,S000029,2025-07-02,Grocery,65.69
L0000206,S000029,2025-07-06,Grocery,57.19
L0000207,S000030,2025-06-17,Grocery,107.82
L0000208,S000030,2025-06-24,Grocery,141.28
L0000209,S000030,2025-07-10,Grocery,60.2
L0000210,S000030,2025-06-17,Grocery,83.41
L0000211,S000030,2025-06-26,Grocery,20.27
L0000212,S000030,2025-06-21,Grocery,100.92
L0000213,S000030,2025-06-30,Grocery,49.83
L0000214,S000030,2025-07-12,Grocery,53.77
L0000215,S000031,2025-03-24,Sports,89.18
L0000216,S000031,2025-03-29,Sports,10.76
L0000217,S000031,2025-03-27,Sports,68.96
L0000218,S000031,2025-04-09,Sports,44.75
L0000219,S000031,2025-03-29,Sports,65.96
L0000220,S000031,2025-03-29,Sports,17.08
L0000221,S000031,2025-04-17,Sports,31.93
L0000222,S000031,2025-04-03,Sports,27.67
L0000223,S000031,2025-04-03,Sports,38.01
L0000224,S000031,2025-04-15,Sports,109.86
L0000225,S000031,2025-04-10,Sports,85.97
L0000226,S000031,2025-04-04,Sports,97.7
L0000227,S000032,2025-02-26,Electronics,31.52
L0000228,S000032,2025-02-19,Electronics,45.03
L0000229,S000032,2025-03-04,Electronics,90.48
L0000230,S000032,2025-03-03,Electronics,22.33
L0000231,S000032,2025-02-20,Electronics,26.89
L0000232,S000032,2025-02-10,Electronics,31.68
L0000233,S000032,2025-02-06,Electronics,47.39
L0000234,S000032,2025-02-07,Electronics,43.45
L0000235,S000032,2025-02-20,Electronics,16.31
L0000236,S000032,2025-02-09,Electronics,46.94
L0000237,S000032,2025-02-07,Electronics,31.17
L0000238,S000032,2025-02-21,Electronics,57.06
L0000239,S000032,2025-02-18,Electronics,8.24
L0000240,S000033,2025-08-14,Jewelry,66.04
L0000241,S000033,2025-08-07,Jewelry,85.18
L0000242,S000033,2025-07-23,Jewelry,50.92
L0000243,S000033,2025-08-04,Jewelry,22.2
L0000244,S000033,2025-07-25,Jewelry,121.7
L0000245,S000033,2025-08-01,Jewelry,80.84
L0000246,S000033,2025-07-26,Jewelry,107.8
L0000247,S000034,2025-12-09,Electronics,199.99
L0000248,S000034,2025-11-21,Jewelry,99.99
L0000249,S000034,2025-12-02,Jewelry,499.99
L0000250,S000034,2025-12-12,Jewelry,499.99
L0000251,S000034,2025-12-13,Jewelry,199.99
L0000252,S000034,2025-11-22,Electronics,99.99
L0000253,S000034,2025-11-22,Electronics,199.99
L0000254,S000034,2025-11-22,Jewelry,199.99
L0000255,S000034,2025-12-07,Electronics,199.99
L0000256,S000034,2025-12-20,Jewelry,499.99
L0000257,S000034,2025-12-12,Electronics,199.99
L0000258,S000034,2025-12-05,Electronics,49.99
L0000259,S000034,2025-12-19,Electronics,199.99
L0000260,S000034,2025-12-19,Electronics,199.99
L0000261,S000034,2025-12-16,Electronics,499.99
L0000262,S000034,2025-12-04,Electronics,199.99
L0000263,S000034,2025-11-29,Electronics,499.99
L0000264,S000034,2025-12-09,Jewelry,199.99
L0000265,S000034,2025-12-02,Jewelry,49.99
L0000266,S000034,2025-12-12,Jewelry,199.99
L0000267,S000034,2025-12-01,Electronics,199.99
L0000268,S000034,2025-12-01,Electronics,499.99
L0000269,S000034,2025-12-18,Electronics,499.99
L0000270,S000034,2025-12-16,Electronics,99.99
L0000271,S000034,2025-12-14,Electronics,199.99
L0000272,S000034,2025-12-01,Electronics,99.99
L0000273,S000034,2025-12-12,Electronics,499.99
L0000274,S000035,2025-02-21,Books,22.03
L0000275,S000035,2025-01-31,Books,26.22
L0000276,S000035,2025-01-24,Books,60.45
L0000277,S000035,2025-02-08,Books,40.49
L0000278,S000035,2025-02-20,Books,48.38
L0000279,S000035,2025-02-01,Books,38.83
L0000280,S000035,2025-02-03,Books,74.21
L0000281,S000035,2025-01-31,Books,31.1
L0000282,S000035,2025-02-22,Books,33.86
L0000283,S000036,2025-11-22,Automotive Parts,182.19
L0000284,S000036,2025-12-09,Automotive Parts,36.09
L0000285,S000036,2025-11-30,Automotive Parts,68.12
L0000286,S000036,2025-11-15,Automotive Parts,18.03
L0000287,S000036,2025-11-19,Automotive Parts,30.96
L0000288,S000036,2025-11-13,Automotive Parts,87.08
L0000289,S000036,2025-11-19,Automotive Parts,15.22
L0000290,S000036,2025-12-04,Automotive Parts,106.74
L0000291,S000036,2025-12-05,Automotive Parts,44.89
L0000292,S000036,2025-11-16,Automotive Parts,40.89
L0000293,S000036,2025-11-17,Automotive Parts,33.67
L0000294,S000036,2025-12-05,Automotive Parts,85.74
L0000295,S000036,2025-11-16,Automotive Parts,52.42
L0000296,S000037,2025-11-01,Beauty,48.66
L0000297,S000037,2025-11-23,Beauty,78.43
L0000298,S000037,2025-11-07,Beauty,65.19
L0000299,S000038,2025-04-29,Books,13.79
L0000300,S000038,2025-04-30,Books,59.35
L0000301,S000038,2025-04-21,Books,20.32
L0000302,S000038,2025-04-24,Books,20.17
L0000303,S000038,2025-04-19,Books,14.4
L0000304,S000038,2025-04-27,Books,49.32
L0000305,S000038,2025-04-28,Books,96.47
L0000306,S000038,2025-04-18,Books,59.38
L0000307,S000038,2025-05-04,Books,75.41
L0000308,S000038,2025-04-18,Books,29.77
L0000309,S000038,2025-05-03,Books,24.12
L0000310,S000038,2025-05-04,Books,51.71
L0000311,S000038,2025-04-22,Books,163.89
L0000312,S000038,2025-04-18,Books,102.89
L0000313,S000039,2025-09-05,Electronics,34.44
L0000314,S000039,2025-09-17,Electronics,44.2
L0000315,S000039,2025-09-08,Electronics,57.03
L0000316,S000039,2025-09-02,Electronics,65.64
L0000317,S000039,2025-09-06,Electronics,51.3
L0000318,S000039,2025-09-14,Electronics,46.61
L0000319,S000039,2025-09-05,Electronics,151.31
L0000320,S000039,2025-09-09,Electronics,53.78
L0000321,S000040,2025-03-27,Jewelry,81.04
L0000322,S000040,2025-03-23,Jewelry,16.49
L0000323,S000040,2025-03-22,Jewelry,83.05
L0000324,S000040,2025-03-21,Jewelry,75.45
L0000325,S000040,2025-03-06,Jewelry,127.67
L0000326,S000040,2025-03-20,Jewelry,20.35
L0000327,S000040,2025-03-11,Jewelry,53.86
L0000328,S000041,2025-10-15,Electronics,21.96
L0000329,S000041,2025-10-15,Electronics,45.97
L0000330,S000041,2025-10-04,Electronics,81.48
L0000331,S000041,2025-10-17,Electronics,60.35
L0000332,S000041,2025-11-02,Electronics,28.36
L0000333,S000041,2025-10-26,Electronics,77.74
L0000334,S000041,2025-10-29,Electronics,83.12
L0000335,S000041,2025-10-05,Electronics,45.31
L0000336,S000041,2025-10-04,Electronics,99.16
L0000337,S000041,2025-10-17,Electronics,84.16
L0000338,S000041,2025-10-20,Electronics,13.93
L0000339,S000041,2025-10-20,Electronics,34.91
L0000340,S000042,2025-10-10,Sports,74.58
L0000341,S000042,2025-09-29,Sports,38.75
L0000342,S000042,2025-09-18,Sports,84.25
L0000343,S000042,2025-10-08,Sports,59.86
L0000344,S000042,2025-09-29,Sports,41.53
L0000345,S000042,2025-09-21,Sports,25.65
L0000346,S000042,2025-10-11,Sports,103.02
L0000347,S000042,2025-10-05,Sports,43.56
L0000348,S000042,2025-09-26,Sports,12.68
L0000349,S000043,2025-06-01,Beauty,103.93
L0000350,S000043,2025-06-05,Beauty,23.05
L0000351,S000043,2025-05-24,Beauty,37.9
L0000352,S000043,2025-05-18,Beauty,36.77
L0000353,S000043,2025-06-03,Beauty,117.19
L0000354,S000043,2025-05-12,Beauty,50.58
L0000355,S000043,2025-05-29,Beauty,64.8
L0000356,S000043,2025-06-08,Beauty,49.47
L0000357,S000043,2025-05-24,Beauty,82.77
L0000358,S000043,2025-05-31,Beauty,55.0
L0000359,S000043,2025-06-07,Beauty,44.76
L0000360,S000043,2025-06-07,Beauty,56.02
L0000361,S000043,2025-05-28,Beauty,26.32
L0000362,S000044,2025-02-15,Electronics,85.07
L0000363,S000044,2025-01-25,Electronics,24.43
L0000364,S000044,2025-02-13,Electronics,11.07
L0000365,S000044,2025-02-06,Electronics,84.32
L0000366,S000044,2025-02-14,Electronics,72.71
L0000367,S000044,2025-02-14,Electronics,40.95
L0000368,S000044,2025-01-25,Electronics,20.81
L0000369,S000044,2025-02-15,Electronics,103.79
L0000370,S000044,2025-01-29,Electronics,68.81
L0000371,S000044,2025-02-15,Electronics,64.38
L0000372,S000044,2025-02-15,Electronics,29.41
L0000373,S000044,2025-01-29,Electronics,75.5
L0000374,S000044,2025-02-14,Electronics,45.97
L0000375,S000044,2025-02-10,Electronics,37.39
L0000376,S000045,2025-12-30,Toys,73.17
L0000377,S000046,2025-06-24,Electronics,499.99
L0000378,S000046,2025-07-07,Electronics,499.99
L0000379,S000046,2025-06-16,Jewelry,199.99
L0000380,S000046,2025-06-19,Electronics,199.99
L0000381,S000046,2025-07-01,Electronics,99.99
L0000382,S000046,2025-07-11,Jewelry,99.99
L0000383,S000046,2025-06-20,Electronics,99.99
L0000384,S000046,2025-06-28,Jewelry,499.99
L0000385,S000046,2025-07-07,Electronics,199.99
L0000386,S000046,2025-06-18,Electronics,99.99
L0000387,S000046,2025-07-09,Jewelry,99.99
L0000388,S000046,2025-07-06,Electronics,199.99
L0000389,S000046,2025-06-20,Electronics,999.99
L0000390,S000046,2025-06-18,Electronics,999.99
L0000391,S000046,2025-06-27,Electronics,199.99
L0000392,S000046,2025-07-11,Electronics,49.99
L0000393,S000046,2025-06-19,Jewelry,99.99
L0000394,S000046,2025-06-14,Electronics,199.99
L0000395,S000046,2025-06-25,Electronics,999.99
L0000396,S000046,2025-06-21,Jewelry,99.99
L0000397,S000047,2025-12-09,Fashion,10.21
L0000398,S000048,2025-09-09,Home & Kitchen,53.78
L0000399,S000048,2025-09-20,Home & Kitchen,89.15
L0000400,S000048,2025-09-06,Home & Kitchen,27.11
L0000401,S000048,2025-09-25,Home & Kitchen,62.34
L0000402,S000048,2025-10-02,Home & Kitchen,8.82
L0000403,S000048,2025-09-24,Home & Kitchen,29.78
L0000404,S000048,2025-09-05,Home & Kitchen,60.81
L0000405,S000048,2025-09-29,Home & Kitchen,76.09
L0000406,S000048,2025-09-28,Home & Kitchen,109.38
L0000407,S000048,2025-09-12,Home & Kitchen,42.4
L0000408,S000048,2025-09-19,Home & Kitchen,22.51
L0000409,S000048,2025-10-02,Home & Kitchen,8.56
L0000410,S000049,2025-10-14,Fashion,41.95
L0000411,S000049,2025-11-02,Fashion,21.97
L0000412,S000049,2025-10-31,Fashion,82.51
L0000413,S000049,2025-10-22,Fashion,102.23
L0000414,S000049,2025-10-18,Fashion,27.62
L0000415,S000049,2025-10-20,Fashion,57.65
L0000416,S000049,2025-11-09,Fashion,24.62
L0000417,S000049,2025-10-27,Fashion,47.15
L0000418,S000050,2025-10-27,Fashion,98.18
L0000419,S000050,2025-10-24,Fashion,66.39
L0000420,S000050,2025-10-12,Fashion,56.09
L0000421,S000050,2025-10-26,Fashion,38.8
L0000422,S000050,2025-10-16,Fashion,79.5
L0000423,S000050,2025-10-15,Fashion,82.33
L0000424,S000050,2025-10-06,Fashion,74.18
L0000425,S000050,2025-10-08,Fashion,92.97
L0000426,S000051,2025-03-13,Home & Kitchen,13.0
L0000427,S000051,2025-04-10,Home & Kitchen,76.37
L0000428,S000051,2025-03-29,Home & Kitchen,97.28
L0000429,S000051,2025-03-15,Home & Kitchen,30.87
L0000430,S000052,2025-05-17,Sports,72.6
L0000431,S000053,2025-07-18,Electronics,99.99
L0000432,S000053,2025-06-21,Electronics,99.99
L0000433,S000053,2025-07-11,Electronics,199.99
L0000434,S000053,2025-07-06,Electronics,499.99
L0000435,S000053,2025-07-13,Electronics,499.99
L0000436,S000053,2025-06-20,Jewelry,199.99
L0000437,S000053,2025-06-30,Electronics,199.99
L0000438,S000053,2025-06-23,Electronics,49.99
L0000439,S000053,2025-07-10,Electronics,49.99
L0000440,S000053,2025-06-28,Electronics,199.99
L0000441,S000053,2025-06-29,Electronics,199.99
L0000442,S000053,2025-06-20,Jewelry,199.99
L0000443,S000053,2025-07-10,Electronics,49.99
L0000444,S000053,2025-07-19,Electronics,999.99
L0000445,S000053,2025-07-09,Jewelry,499.99
L0000446,S000053,2025-07-19,Electronics,49.99
L0000447,S000053,2025-07-16,Jewelry,199.99
L0000448,S000053,2025-07-07,Electronics,999.99
L0000449,S000053,2025-07-08,Jewelry,999.99
L0000450,S000053,2025-07-02,Electronics,499.99
L0000451,S000053,2025-06-25,Electronics,199.99
L0000452,S000053,2025-07-19,Electronics,99.99
L0000453,S000054,2025-07-25,Books,86.2
L0000454,S000054,2025-07-29,Books,84.93
L0000455,S000054,2025-07-11,Books,44.19
L0000456,S000054,2025-07-10,Books,62.76
L0000457,S000054,2025-07-15,Books,43.87
L0000458,S000054,2025-07-10,Books,26.14
L0000459,S000054,2025-07-28,Books,74.13
L0000460,S000054,2025-07-04,Books,50.74
L0000461,S000054,2025-07-07,Books,18.71
L0000462,S000055,2025-02-10,Grocery,47.32
L0000463,S000055,2025-01-23,Grocery,89.8
L0000464,S000055,2025-02-14,Grocery,112.68
L0000465,S000055,2025-02-05,Grocery,55.51
L0000466,S000056,2025-08-15,Grocery,144.34
L0000467,S000056,2025-07-26,Grocery,21.77
L0000468,S000056,2025-07-27,Grocery,12.06
L0000469,S000056,2025-07-31,Grocery,51.86
L0000470,S000056,2025-08-09,Grocery,60.48
L0000471,S000056,2025-08-13,Grocery,40.01
L0000472,S000056,2025-08-16,Grocery,62.5
L0000473,S000056,2025-08-08,Grocery,23.75
L0000474,S000056,2025-08-13,Grocery,114.21
L0000475,S000056,2025-08-10,Grocery,20.13
L0000476,S000056,2025-08-17,Grocery,29.1
L0000477,S000056,2025-07-26,Grocery,109.15
L0000478,S000056,2025-08-08,Grocery,101.49
L0000479,S000056,2025-07-19,Grocery,189.41
L0000480,S000057,2025-03-26,Beauty,36.04
L0000481,S000057,2025-03-26,Beauty,23.3
L0000482,S000057,2025-03-10,Beauty,40.41
L0000483,S000058,2025-10-13,Automotive Parts,36.02
L0000484,S000058,2025-10-15,Automotive Parts,101.65
L0000485,S000058,2025-10-16,Automotive Parts,23.53
L0000486,S000058,2025-10-11,Automotive Parts,29.24
L0000487,S000059,2025-09-20,Fashion,84.56
L0000488,S000059,2025-09-25,Fashion,97.97
L0000489,S000059,2025-10-05,Fashion,57.02
L0000490,S000059,2025-09-11,Fashion,51.28
L0000491,S000060,2025-12-16,Books,21.53
L0000492,S000060,2025-12-31,Books,31.72
L0000493,S000060,2025-12-13,Books,235.97
L0000494,S000060,2025-12-14,Books,33.9
L0000495,S000060,2025-12-24,Books,41.63
L0000496,S000060,2025-12-22,Books,83.15
L0000497,S000060,2025-12-26,Books,40.44
L0000498,S000060,2025-12-30,Books,60.96
L0000499,S000060,2025-12-08,Books,66.76
L0000500,S000061,2025-10-24,Fashion,38.89
L0000501,S000061,2025-10-11,Fashion,20.18
L0000502,S000061,2025-10-28,Fashion,24.47
L0000503,S000061,2025-09-30,Fashion,28.78
L0000504,S000061,2025-10-28,Fashion,47.55
L0000505,S000061,2025-10-22,Fashion,146.71
L0000506,S000061,2025-10-27,Fashion,16.77
L0000507,S000062,2025-05-26,Grocery,78.13
L0000508,S000062,2025-06-02,Grocery,86.72
L0000509,S000062,2025-05-26,Grocery,75.12
L0000510,S000062,2025-05-21,Grocery,50.65
L0000511,S000062,2025-05-29,Grocery,65.16
L0000512,S000062,2025-05-16,Grocery,70.91
L0000513,S000062,2025-06-08,Grocery,90.71
L0000514,S000062,2025-05-26,Grocery,110.91
L0000515,S000062,2025-05-19,Grocery,151.35
L0000516,S000062,2025-05-20,Grocery,46.88
L0000517,S000062,2025-05-23,Grocery,17.18
L0000518,S000062,2025-06-01,Grocery,15.29
L0000519,S000062,2025-05-17,Grocery,135.23
L0000520,S000063,2026-01-02,Electronics,78.02
L0000521,S000063,2025-12-22,Electronics,41.61
L0000522,S000063,2026-01-10,Electronics,17.89
L0000523,S000063,2025-12-21,Electronics,67.11
L0000524,S000063,2026-01-05,Electronics,143.55
L0000525,S000063,2026-01-09,Electronics,15.13
L0000526,S000063,2026-01-01,Electronics,25.16
L0000527,S000063,2026-01-07,Electronics,18.76
L0000528,S000064,2025-06-28,Home & Kitchen,73.34
L0000529,S000064,2025-06-14,Home & Kitchen,20.55
L0000530,S000064,2025-06-05,Home & Kitchen,52.95
L0000531,S000064,2025-06-08,Home & Kitchen,43.38
L0000532,S000064,2025-06-07,Home & Kitchen,124.86
L0000533,S000064,2025-06-25,Home & Kitchen,65.16
L0000534,S000064,2025-06-20,Home & Kitchen,38.41
L0000535,S000064,2025-06-25,Home & Kitchen,71.32
L0000536,S000064,2025-06-13,Home & Kitchen,32.86
L0000537,S000064,2025-06-08,Home & Kitchen,52.51
L0000538,S000065,2025-05-05,Beauty,206.74
L0000539,S000065,2025-05-19,Beauty,89.95
L0000540,S000065,2025-04-30,Beauty,22.11
L0000541,S000065,2025-05-03,Beauty,57.82
L0000542,S000066,2025-12-25,Books,45.14
L0000543,S000066,2025-12-17,Books,32.69
L0000544,S000067,2025-05-22,Electronics,40.93
L0000545,S000067,2025-05-17,Electronics,87.36
L0000546,S000067,2025-05-24,Electronics,145.37
L0000547,S000067,2025-06-11,Electronics,41.16
L0000548,S000067,2025-06-11,Electronics,27.37
L0000549,S000067,2025-06-11,Electronics,31.71
L0000550,S000067,2025-05-28,Electronics,43.86
L0000551,S000067,2025-06-14,Electronics,131.72
L0000552,S000068,2025-02-09,Home & Kitchen,34.04
L0000553,S000068,2025-02-04,Home & Kitchen,35.48
L0000554,S000068,2025-02-06,Home & Kitchen,26.47
L0000555,S000068,2025-02-04,Home & Kitchen,27.74
L0000556,S000068,2025-02-06,Home & Kitchen,24.64
