seller_id,registration_date,business_category,identity_consistency_score,email_domain_age_days,device_id,ip_hash,is_fraud,fraud_type
S000029,2025-06-11,Grocery,0.908,1307,D004405,IP001384,False,none
S000030,2025-06-14,Grocery,0.725,890,D001627,IP006127,False,none
S000031,2025-03-24,Sports,0.849,2320,D003475,IP002264,False,none
S000032,2025-02-03,Electronics,0.716,1628,D009330,IP002460,False,none
S000033,2025-07-22,Jewelry,0.889,3,D004676,IP008614,False,none
S000034,2025-11-21,Toys,0.662,1896,D009905,IP006150,True,stolen_goods
S000035,2025-01-24,Books,0.885,1503,D001615,IP009934,False,none
S000036,2025-11-10,Automotive Parts,0.703,1724,D001224,IP004545,False,none
S000037,2025-10-30,Beauty,0.812,553,D005638,IP003577,False,none
S000038,2025-04-12,Books,0.939,1435,D006830,IP009952,False,none
S000039,2025-08-19,Electronics,0.873,1940,D009812,IP006225,False,none
S000040,2025-03-02,Jewelry,0.685,2031,D004659,IP008630,False,none
S000041,2025-10-04,Electronics,0.783,2041,D002001,IP000444,False,none
S000042,2025-09-13,Sports,0.7,2992,D005411,IP005259,False,none
S000043,2025-05-10,Beauty,0.681,1503,D003069,IP008169,False,none
S000044,2025-01-25,Electronics,0.862,1290,D001795,IP008084,False,none
S000045,2025-12-21,Toys,0.906,1626,D000884,IP007150,False,none
S000046,2025-06-12,Automotive Parts,0.894,987,D007235,IP001645,True,triangulation
S000047,2025-11-22,Fashion,0.91,945,D006427,IP005468,False,none
S000048,2025-09-05,Home & Kitchen,0.849,2070,D001666,IP001014,False,none
S000049,2025-10-12,Fashion,0.823,940,D005588,IP008019,False,none
S000050,2025-10-05,Fashion,0.743,2247,D008852,IP006306,False,none
S000051,2025-03-13,Home & Kitchen,0.806,2235,D008180,IP001938,False,none
S000052,2025-05-13,Sports,0.718,2860,D004539,IP007267,False,none
S000053,2025-06-20,Grocery,0.765,396,D000572,IP007193,True,stolen_goods
S000054,2025-07-01,Books,0.859,1090,D006348,IP000530,False,none
S000055,2025-01-16,Grocery,0.838,2314,D005162,IP000892,False,none
S000056,2025-07-19,Grocery,1.0,1288,D009217,IP002009,False,none
S000057,2025-02-26,Beauty,0.715,1965,D005533,IP000701,False,none
S000058,2025-09-29,Automotive Parts,0.837,2206,D007379,IP005372,False,none
S000059,2025-09-07,Fashion,0.708,2653,D005284,IP008799,False,none
S000060,2025-12-03,Books,0.811,679,D005408,IP000628,False,none
S000061,2025-09-29,Fashion,0.815,781,D003174,IP006145,False,none
S000062,2025-05-14,Grocery,0.934,1413,D004026,IP004240,False,none
S000063,2025-12-20,Electronics,0.805,1519,D002959,IP008362,False,none
S000064,2025-05-30,Home & Kitchen,0.831,2715,D004621,IP004820,False,none
S000065,2025-04-29,Beauty,0.807,117,D009515,IP006687,False,none
S000066,2025-11-27,Books,0.71,736,D003416,IP009218,False,none
S000067,2025-05-16,Electronics,0.785,2737,D004632,IP001361,False,none
S000068,2025-01-28,Home & Kitchen,0.812,1844,D009461,IP003156,False,none
S000069,2025-06-21,Beauty,0.358,4,D001512,IP002697,True,synthetic_identity
S000070,2025-10-18,Grocery,0.906,749,D002528,IP001686,False,none
S000071,2025-03-11,Automotive Parts,0.827,1869,D004931,IP006479,False,none
S000072,2025-06-18,Books,0.825,1110,D004093,IP000075,False,none
S000073,2025-02-17,Sports,0.678,2198,D003411,IP003859,False,none
S000074,2025-09-08,Beauty,0.904,272,D007782,IP001216,False,none
S000075,2025-06-23,Jewelry,0.78,853,D004988,IP006152,False,none
S000076,2025-05-01,Fashion,0.925,1934,D003643,IP007508,False,none
S000077,2025-03-24,Fashion,0.982,1811,D004789,IP004668,False,none
S000078,2025-07-26,Home & Kitchen,0.831,2521,D008866,IP004449,False,none
S000079,2025-09-02,Home & Kitchen,0.748,2402,D009839,IP004497,True,bust_out
S000080,2025-12-10,Toys,0.848,44,D002430,IP001987,False,none
S000081,2025-06-09,Automotive Parts,0.885,271,D000401,IP003755,False,none
S000082,2025-02-28,Books,0.818,1063,D000313,IP009330,False,none
S000083,2025-10-31,Beauty,0.794,2876,D004454,IP000411,False,none
S000084,2025-08-18,Home & Kitchen,0.906,1432,D006287,IP007875,False,none
S000085,2025-09-13,Books,0.9,2675,D000513,IP001647,False,none
S000086,2025-02-05,Home & Kitchen,0.815,178,D005082,IP001143,False,none
S000087,2025-04-25,Automotive Parts,0.685,2889,D003996,IP002856,False,none
S000088,2025-10-08,Toys,0.896,184,D009330,IP002689,False,none
S000089,2025-10-31,Sports,0.773,2425,D006035,IP003161,False,none
S000090,2025-06-08,Automotive Parts,0.871,2630,D004231,IP008494,False,none
S000091,2025-10-21,Beauty,0.865,883,D005866,IP009046,False,none
S000092,2025-11-04,Toys,0.661,903,D001355,IP006924,False,none
S000093,2025-05-22,Sports,0.858,1745,D004750,IP001461,False,none
S000094,2025-11-24,Home & Kitchen,0.901,2166,D003297,IP009455,False,none
S000095,2025-04-16,Electronics,0.914,361,D001809,IP008474,False,none
S000096,2025-03-29,Home & Kitchen,0.862,711,D003932,IP000762,False,none
S000097,2025-09-07,Fashion,0.652,2262,D006389,IP003873,False,none
S000098,2025-08-21,Books,0.978,2422,D005831,IP007754,True,bust_out
S000099,2025-02-21,Electronics,0.891,461,D009639,IP000891,True,stolen_goods
S000100,2025-10-31,Beauty,0.73,2668,D002745,IP000764,False,none
S000101,2025-03-14,Jewelry,0.771,2600,D006996,IP006059,False,none
S000102,2025-10-21,Sports,0.873,2603,D005503,IP003366,False,none
S000103,2025-01-03,Books,0.918,722,D008738,IP004416,False,none
S000104,2025-10-18,Books,0.801,2007,D009080,IP007506,False,none
S000105,2025-10-15,Home & Kitchen,0.933,482,D007075,IP005448,False,none
S000106,2025-10-12,Books,0.671,590,D004237,IP007110,False,none
S000107,2025-08-31,Home & Kitchen,0.746,213,D005333,IP001260,False,none
S000108,2025-06-22,Books,0.644,1479,D006515,IP000021,False,none
S000109,2025-09-15,Books,0.76,2134,D008059,IP002516,False,none
S000110,2025-04-12,Jewelry,1.0,597,D002288,IP002019,False,none
S000111,2025-10-12,Automotive Parts,1.0,559,D008729,IP003240,False,none
S000112,2025-07-22,Electronics,0.873,831,D008013,IP007785,False,none
S000113,2025-06-17,Home & Kitchen,0.786,593,D000881,IP001519,False,none
S000114,2025-07-04,Sports,0.828,2498,D002696,IP001261,False,none
S000115,2025-07-27,Beauty,0.897,509,D002358,IP002007,False,none
S000116,2025-01-14,Books,0.694,836,D005798,IP003263,False,none
S000117,2025-02-21,Jewelry,0.793,918,D002086,IP001972,False,none
S000118,2025-03-31,Home & Kitchen,0.993,608,D003002,IP001838,False,none
S000119,2025-02-11,Jewelry,0.745,2823,D001891,IP005795,False,none
S000120,2025-06-10,Jewelry,0.775,629,D000674,IP001114,False,none
S000121,2025-09-01,Automotive Parts,0.851,1460,D004593,IP001539,True,stolen_goods
S000122,2025-08-27,Electronics,0.878,1698,D003196,IP008366,False,none
S000123,2025-06-21,Home & Kitchen,0.787,783,D005045,IP000182,True,bust_out
S000124,2025-11-09,Fashion,0.858,1414,D002120,IP000613,False,none
S000125,2025-07-26,Fashion,0.911,512,D002863,IP000694,False,none
S000126,2025-01-29,Electronics,1.0,1448,D008926,IP005360,False,none
S000127,2025-10-07,Toys,0.837,57,D008050,IP006947,False,none
S000128,2025-07-29,Electronics,0.846,1317,D002661,IP006926,False,none
S000129,2025-08-20,Home & Kitchen,1.0,1095,D001617,IP006900,False,none
S000130,2025-07-26,Automotive Parts,0.795,1052,D009744,IP000575,False,none
S000131,2025-07-22,Jewelry,0.718,331,D006808,IP003445,False,none
S000132,2025-02-03,Automotive Parts,0.875,2996,D004923,IP006334,False,none
S000133,2025-07-24,Electronics,0.958,82,D006993,IP006820,False,none
S000134,2025-10-18,Books,0.886,439,D002210,IP003340,False,none
S000135,2025-04-21,Books,0.84,309,D004281,IP008467,False,none
S000136,2025-08-09,Fashion,0.705,2933,D003913,IP008335,False,none
S000137,2025-01-12,Automotive Parts,0.844,956,D007208,IP007656,False,none
S000138,2025-05-07,Toys,0.973,1293,D001834,IP007976,False,none
S000139,2025-06-09,Automotive Parts,0.727,2252,D004890,IP009751,False,none
S000140,2025-12-25,Fashion,0.826,152,D008336,IP007939,False,none
S000141,2025-03-20,Books,0.811,201,D001963,IP005854,False,none
S000142,2025-04-11,Fashion,0.78,548,D001199,IP003986,False,none
S000143,2025-05-30,Automotive Parts,0.875,2036,D008212,IP003620,False,none
S000144,2025-12-29,Books,0.894,2935,D008735,IP008225,False,none
S000145,2025-11-08,Electronics,0.893,1862,D004305,IP002958,False,none
S000146,2025-01-13,Home & Kitchen,0.752,2616,D000459,IP006299,False,none
S000147,2025-03-27,Beauty,0.685,2646,D005406,IP005027,False,none
S000148,2025-10-27,Electronics,0.876,829,D002996,IP003786,False,none
S000149,2025-01-22,Electronics,0.799,552,D005874,IP004507,False,none
S000150,2025-11-09,Automotive Parts,0.671,481,D001398,IP000806,True,collusion
S000151,2025-04-13,Automotive Parts,1.0,2383,D008051,IP007094,False,none
S000152,2025-12-01,Sports,1.0,2008,D006852,IP000668,False,none
S000153,2025-04-18,Automotive Parts,0.756,2594,D006452,IP000737,False,none
S000154,2025-06-08,Books,0.907,1521,D005123,IP002514,False,none
S000155,2025-08-30,Electronics,0.937,2929,D002202,IP005313,True,bust_out
S000156,2025-02-16,Grocery,0.926,2682,D009393,IP002995,False,none
S000157,2025-07-23,Electronics,0.815,2425,D002657,IP008802,False,none
S000158,2025-07-04,Jewelry,0.978,2409,D003661,IP009275,False,none
S000159,2025-10-14,Beauty,0.85,372,D009262,IP003932,False,none
S000160,2025-12-30,Fashion,0.863,2234,D000407,IP009999,False,none
S000161,2025-08-31,Home & Kitchen,0.696,2841,D001250,IP000890,False,none
S000162,2025-05-30,Books,0.914,877,D007616,IP001436,False,none
S000163,2025-05-29,Jewelry,0.824,2445,D003679,IP003473,False,none
S000164,2025-06-02,Sports,0.896,1050,D005795,IP009427,False,none
S000165,2025-10-25,Fashion,0.874,637,D005805,IP005036,False,none
S000166,2025-04-28,Automotive Parts,0.868,2191,D008274,IP007065,False,none
S000167,2025-03-02,Grocery,0.845,496,D006202,IP006526,False,none
S000168,2025-05-03,Toys,0.929,1444,D004261,IP004986,False,none
S000169,2025-01-09,Sports,0.83,2809,D005492,IP009316,False,none
S000170,2025-02-08,Automotive Parts,0.704,471,D007381,IP009546,False,none
S000171,2025-02-02,Beauty,0.907,467,D003791,IP004481,False,none
S000172,2025-10-09,Electronics,0.769,2828,D001710,IP007136,False,none
S000173,2025-09-21,Fashion,0.718,2331,D004863,IP006239,False,none
S000174,2025-09-12,Books,0.748,1385,D009995,IP005936,False,none
S000175,2025-06-18,Automotive Parts,0.878,1216,D001121,IP001015,False,none
S000176,2025-09-19,Grocery,0.84,2892,D001736,IP002095,False,none
S000177,2025-02-28,Books,0.637,2171,D009951,IP009900,False,none
S000178,2025-11-25,Beauty,0.812,2724,D008298,IP002444,False,none
S000179,2025-07-02,Toys,0.967,276,D001170,IP006517,False,none
S000180,2025-12-09,Electronics,0.805,1591,D002124,IP009115,False,none
S000181,2025-02-25,Beauty,0.833,2175,D006908,IP006024,False,none
S000182,2025-07-01,Books,0.954,108,D007825,IP002150,False,none
S000183,2025-09-12,Automotive Parts,0.93,1536,D007339,IP008596,False,none
S000184,2025-06-30,Automotive Parts,0.952,167,D008612,IP000323,False,none
S000185,2025-06-12,Jewelry,0.573,2701,D005067,IP007231,False,none
S000186,2025-03-02,Electronics,1.0,2043,D008766,IP002662,False,none
S000187,2025-05-20,Jewelry,0.914,566,D005960,IP006402,False,none
S000188,2025-03-29,Home & Kitchen,1.0,1564,D004757,IP004805,False,none
S000189,2025-04-21,Books,0.772,328,D006364,IP005690,False,none
S000190,2025-09-07,Automotive Parts,0.674,2411,D004288,IP003819,True,stolen_goods
S000191,2025-08-19,Jewelry,0.851,589,D006063,IP005289,False,none
S000192,2025-08-10,Books,0.822,1822,D008337,IP009358,False,none
S000193,2025-05-13,Home & Kitchen,0.915,236,D009581,IP008264,True,account_takeover
S000194,2025-12-17,Sports,0.957,474,D005794,IP004185,False,none
S000195,2025-02-01,Grocery,0.841,2940,D000057,IP009412,False,none
S000196,2025-05-06,Sports,0.826,1158,D006212,IP008890,False,none
S000197,2025-02-13,Toys,0.902,369,D002518,IP006273,False,none
S000198,2025-05-04,Toys,0.824,2099,D002360,IP005946,False,none
S000199,2025-12-18,Sports,0.816,603,D008812,IP000356,False,none
S000200,2025-05-14,Electronics,0.954,1768,D004461,IP005241,False,none
S000201,2025-11-28,Automotive Parts,0.976,2429,D007904,IP002126,False,none
S000202,2025-06-30,Fashion,0.958,2050,D003694,IP001601,False,none
S000203,2025-09-13,Automotive Parts,0.833,741,D006068,IP008583,False,none
S000204,2025-06-16,Electronics,0.636,711,D006653,IP002710,False,none
S000205,2025-04-08,Sports,0.835,667,D008932,IP006154,False,none
S000206,2025-10-06,Toys,0.774,1896,D001964,IP008671,False,none
S000207,2025-12-20,Sports,0.837,2017,D005612,IP005978,False,none
S000208,2025-04-07,Toys,0.783,1563,D004057,IP007799,False,none
S000209,2025-10-12,Jewelry,0.848,1196,D004638,IP007750,False,none
S000210,2025-04-06,Electronics,0.746,187,D008487,IP004474,True,triangulation
S000211,2025-09-19,Automotive Parts,0.722,2506,D001358,IP009217,False,none
S000212,2025-10-15,Books,0.972,1980,D005464,IP009090,False,none
S000213,2025-06-14,Grocery,0.753,1915,D003878,IP003377,False,none
S000214,2025-09-26,Fashion,0.85,312,D008960,IP008191,False,none
S000215,2025-04-10,Electronics,0.945,865,D002164,IP001830,False,none
S000216,2025-01-29,Beauty,0.941,912,D002325,IP001120,False,none
S000217,2025-02-05,Beauty,0.623,1794,D000908,IP005300,True,collusion
S000218,2025-06-13,Grocery,0.88,2362,D004399,IP006059,False,none
S000219,2025-11-26,Jewelry,0.922,2599,D000108,IP005835,False,none
S000220,2025-02-16,Toys,0.987,1566,D005004,IP007988,False,none
S000221,2025-06-16,Grocery,0.893,1094,D002235,IP003909,False,none
S000222,2025-09-14,Electronics,0.666,1224,D004005,IP008083,False,none
S000223,2025-03-15,Grocery,0.797,2209,D006051,IP009021,False,none
S000224,2025-09-21,Electronics,0.92,954,D006844,IP000913,False,none
S000225,2025-04-22,Books,0.787,1248,D000612,IP004492,False,none
S000226,2025-10-23,Beauty,1.0,2358,D001487,IP002246,False,none
S000227,2025-07-31,Toys,0.844,1629,D003177,IP006564,False,none
S000228,2025-07-19,Home & Kitchen,0.859,1403,D005194,IP004130,False,none
S000229,2025-03-06,Toys,0.962,2201,D008835,IP002816,False,none
S000230,2025-06-19,Jewelry,0.832,866,D001387,IP002516,False,none
S000231,2025-11-09,Jewelry,0.868,182,D000678,IP003547,False,none
S000232,2025-01-08,Beauty,0.94,2365,D006291,IP001089,False,none
S000233,2025-10-04,Home & Kitchen,0.703,1365,D009788,IP001045,False,none
S000234,2025-06-29,Sports,0.821,977,D008302,IP006288,False,none
S000235,2025-09-20,Books,0.933,286,D005654,IP009427,False,none
S000236,2025-08-31,Fashion,0.857,2779,D000199,IP005074,False,none
S000237,2025-06-07,Grocery,0.997,2175,D005762,IP009273,False,none
S000238,2025-04-23,Automotive Parts,0.692,822,D004569,IP001549,False,none
S000239,2025-08-17,Jewelry,0.681,1823,D004469,IP009732,False,none
S000240,2025-02-21,Sports,0.927,1393,D004927,IP005863,False,none
S000241,2025-08-02,Beauty,0.937,981,D005615,IP007437,False,none
S000242,2025-02-04,Beauty,0.831,935,D007202,IP000620,False,none
S000243,2025-08-26,Grocery,0.89,229,D001921,IP006040,False,none
S000244,2025-08-18,Toys,0.925,2924,D000747,IP003830,False,none
S000245,2025-01-31,Fashion,0.769,2777,D000514,IP008984,False,none
S000246,2025-10-04,Books,0.779,2611,D004060,IP007925,False,none
S000247,2025-06-01,Fashion,0.869,945,D005079,IP008642,False,none
S000248,2025-10-15,Automotive Parts,0.94,2990,D007854,IP008900,False,none
S000249,2025-01-16,Toys,0.733,826,D004334,IP007206,False,none
S000250,2025-03-07,Beauty,0.83,2473,D005321,IP002452,False,none
S000251,2025-06-30,Electronics,0.826,303,D009767,IP002829,False,none
S000252,2025-03-10,Fashion,0.892,932,D007498,IP008595,False,none
S000253,2025-05-01,Automotive Parts,0.849,1732,D006909,IP006015,False,none
S000254,2025-08-30,Sports,0.795,2903,D003640,IP008917,False,none
S000255,2025-02-22,Automotive Parts,0.975,797,D001521,IP007950,False,none
S000256,2025-09-05,Automotive Parts,0.796,1297,D009200,IP006068,False,none
S000257,2025-02-07,Electronics,0.821,2528,D005534,IP001524,False,none
S000258,2025-03-05,Beauty,0.691,1417,D000773,IP009821,False,none
S000259,2025-08-03,Jewelry,0.779,2048,D004822,IP002430,False,none
S000260,2025-10-17,Toys,0.902,1255,D000911,IP002461,False,none
S000261,2025-03-04,Sports,0.882,12,D009813,IP001460,False,none
S000262,2025-04-20,Sports,0.91,849,D005284,IP000689,False,none
S000263,2025-12-04,Grocery,0.905,1697,D007849,IP003750,False,none
S000264,2025-12-28,Automotive Parts,1.0,59,D004708,IP008434,False,none
S000265,2025-08-01,Jewelry,0.775,696,D000197,IP008658,True,bust_out
S000266,2025-06-13,Books,0.688,2859,D006384,IP004909,False,none
S000267,2025-05-07,Sports,0.745,47,D006531,IP003146,False,none
S000268,2025-08-12,Beauty,0.78,742,D002290,IP003464,False,none
S000269,2025-08-04,Fashion,0.49,1858,D007164,IP009188,True,collusion
S000270,2025-04-18,Grocery,0.859,1689,D002260,IP000552,False,none
S000271,2025-01-09,Electronics,0.975,615,D006915,IP000574,False,none
S000272,2025-02-25,Books,1.0,179,D007491,IP000646,False,none
S000273,2025-12-16,Toys,0.9,2699,D001374,IP008879,False,none
S000274,2025-06-02,Grocery,1.0,1652,D002917,IP000907,False,none
S000275,2025-06-26,Automotive Parts,0.814,1720,D001633,IP009415,False,none
S000276,2025-06-20,Sports,0.687,174,D007272,IP001836,False,none
S000277,2025-10-13,Sports,0.955,628,D002355,IP005483,False,none
S000278,2025-01-24,Toys,0.666,219,D006407,IP009704,False,none
S000279,2025-01-31,Beauty,0.774,2937,D004175,IP001158,False,none
S000280,2025-04-11,Electronics,0.902,2309,D000833,IP002814,False,none
S000281,2025-06-27,Electronics,0.84,1639,D008827,IP007275,False,none
S000282,2025-09-02,Grocery,0.831,2042,D007111,IP008170,False,none
S000283,2025-06-29,Automotive Parts,0.732,497,D002616,IP009073,False,none
S000284,2025-06-11,Electronics,0.849,2964,D008795,IP000194,False,none
S000285,2025-12-09,Beauty,0.95,1552,D007088,IP007770,False,none
S000286,2025-02-28,Books,0.852,1550,D008166,IP003218,False,none
S000287,2025-07-28,Grocery,0.767,2878,D001781,IP005577,False,none
S000288,2025-07-17,Grocery,0.725,288,D000088,IP009061,True,bust_out
S000289,2025-06-22,Books,0.769,1273,D000618,IP009022,False,none
S000290,2025-10-22,Electronics,0.889,265,D005397,IP001850,False,none
S000291,2025-04-08,Home & Kitchen,0.884,1276,D007866,IP004706,False,none
S000292,2025-12-15,Toys,0.77,802,D009133,IP002840,False,none
S000293,2025-05-02,Electronics,0.541,1383,D009609,IP006148,True,collusion
S000294,2025-07-18,Beauty,0.892,2106,D005987,IP008265,False,none
S000295,2025-07-10,Beauty,0.76,841,D006312,IP003179,False,none
S000296,2025-11-07,Automotive Parts,0.919,154,D002903,IP001213,False,none
S000297,2025-06-10,Beauty,0.774,486,D000011,IP000643,False,none
S000298,2025-04-14,Automotive Parts,0.751,2147,D001945,IP000531,False,none
S000299,2025-01-08,Grocery,0.865,1737,D000555,IP003664,False,none
S000300,2025-05-13,Books,0.301,2,D006849,IP009659,True,synthetic_identity
S000301,2025-10-29,Jewelry,0.925,2682,D005031,IP002517,False,none
S000302,2025-01-04,Jewelry,0.864,484,D007712,IP004047,False,none
S000303,2025-11-24,Home & Kitchen,0.886,2207,D001480,IP006749,False,none
S000304,2025-07-18,Toys,0.675,271,D009125,IP006578,False,none
S000305,2025-02-21,Sports,0.738,289,D007195,IP002700,False,none
S000306,2025-04-21,Automotive Parts,0.599,2379,D009057,IP001271,False,none
S000307,2025-07-22,Electronics,1.0,1203,D006484,IP001565,False,none
S000308,2025-04-26,Toys,1.0,2993,D003392,IP002201,False,none
S000309,2025-02-09,Home & Kitchen,0.889,16,D006261,IP000861,False,none
S000310,2025-09-01,Home & Kitchen,0.864,1508,D006038,IP004599,False,none
S000311,2025-09-03,Grocery,0.695,924,D001809,IP006457,False,none
S000312,2025-02-13,Home & Kitchen,0.828,2956,D001015,IP006751,False,none
S000313,2025-04-13,Grocery,1.0,2008,D006502,IP009090,False,none
S000314,2025-03-31,Automotive Parts,0.863,2315,D000944,IP002932,False,none
S000315,2025-08-29,Grocery,0.794,871,D001003,IP006547,False,none
S000316,2025-09-24,Fashion,0.674,2683,D000714,IP008846,False,none
S000317,2025-09-23,Fashion,0.988,2521,D006221,IP000283,False,none
S000318,2025-12-09,Toys,0.843,2352,D009271,IP007811,False,none
S000319,2025-10-08,Sports,0.674,1432,D004970,IP000881,True,bust_out
S000320,2025-04-28,Grocery,0.758,2765,D001524,IP005515,False,none
S000321,2025-02-09,Toys,0.722,2007,D005126,IP008307,False,none
S000322,2025-08-13,Fashion,0.837,198,D004823,IP004592,False,none
S000323,2025-12-01,Automotive Parts,0.871,2651,D005933,IP005597,True,stolen_goods
S000324,2025-12-22,Automotive Parts,0.8,63,D004330,IP006195,True,account_takeover
S000325,2025-03-26,Books,0.928,2048,D005321,IP005778,False,none
S000326,2025-03-28,Books,0.858,750,D003247,IP007316,False,none
S000327,2025-01-14,Automotive Parts,0.956,2692,D009061,IP008591,False,none
S000328,2025-02-21,Toys,0.814,2189,D005377,IP001349,False,none
S000329,2025-07-22,Fashion,1.0,2424,D003107,IP004158,False,none
S000330,2025-07-19,Books,0.794,2099,D000027,IP008526,False,none
S000331,2025-05-16,Toys,0.76,1701,D006787,IP003813,False,none
S000332,2025-04-24,Grocery,0.747,2591,D003801,IP004894,False,none
S000333,2025-10-30,Grocery,0.829,892,D002490,IP007421,False,none
S000334,2025-06-17,Toys,0.678,1585,D004793,IP009353,False,none
S000335,2025-10-23,Beauty,0.879,895,D004851,IP002516,False,none
S000336,2025-12-18,Toys,0.659,341,D008033,IP009555,False,none
S000337,2025-04-26,Books,0.866,2626,D005425,IP007097,False,none
S000338,2025-03-15,Books,0.715,1491,D007009,IP000307,False,none
S000339,2025-12-14,Sports,0.812,162,D006470,IP008615,False,none
S000340,2025-08-20,Sports,0.91,2475,D008497,IP003844,False,none
S000341,2025-04-17,Automotive Parts,1.0,2824,D000062,IP002822,False,none
S000342,2025-08-15,Home & Kitchen,0.742,1985,D003762,IP005262,False,none
S000343,2025-07-07,Fashion,0.835,981,D007154,IP005762,False,none
S000344,2025-11-27,Grocery,0.778,2578,D001409,IP005395,False,none
S000345,2025-04-04,Automotive Parts,0.763,2216,D004418,IP000552,False,none
S000346,2025-12-28,Books,0.779,855,D004010,IP008223,False,none
S000347,2025-12-08,Toys,0.932,990,D008056,IP003417,False,none
S000348,2025-03-07,Beauty,0.801,2963,D009630,IP001411,False,none
S000349,2025-03-02,Toys,1.0,2859,D001063,IP005658,False,none
S000350,2025-07-14,Electronics,0.892,2029,D002143,IP006224,False,none
S000351,2025-01-17,Sports,0.749,110,D007742,IP001035,False,none
S000352,2025-04-20,Home & Kitchen,0.813,689,D001747,IP009425,False,none
S000353,2025-06-08,Home & Kitchen,0.77,1060,D004969,IP006006,False,none
S000354,2025-12-20,Sports,0.93,1608,D009443,IP009966,False,none
S000355,2025-12-29,Automotive Parts,0.686,2602,D009752,IP006704,True,bust_out
S000356,2025-02-25,Home & Kitchen,0.716,2544,D009499,IP000100,False,none
S000357,2025-11-22,Automotive Parts,0.791,822,D001344,IP002083,False,none
S000358,2025-02-03,Sports,0.918,327,D001492,IP009725,False,none
S000359,2025-10-01,Automotive Parts,0.973,827,D001760,IP005596,False,none
S000360,2025-11-05,Beauty,0.988,706,D007694,IP001222,False,none
S000361,2025-11-22,Automotive Parts,0.903,2696,D001790,IP000742,False,none
S000362,2025-03-23,Books,0.842,43,D004297,IP005369,False,none
S000363,2025-11-23,Books,0.929,2491,D008183,IP005941,False,none
S000364,2025-02-12,Sports,0.736,1970,D004922,IP002463,False,none
S000365,2025-07-09,Toys,0.666,318,D009405,IP001948,False,none
S000366,2025-06-21,Sports,0.894,2055,D004986,IP006063,False,none
S000367,2025-04-26,Jewelry,0.749,1740,D003797,IP004355,False,none
S000368,2025-01-09,Grocery,0.843,12,D009683,IP000370,True,bust_out
S000369,2025-10-09,Electronics,0.862,670,D005470,IP000576,False,none
S000370,2025-05-03,Books,0.875,1044,D001846,IP002383,False,none
S000371,2025-08-30,Jewelry,0.944,646,D006344,IP005640,False,none
S000372,2025-05-30,Grocery,0.933,1736,D007730,IP003005,False,none
S000373,2025-05-17,Toys,0.87,1846,D008384,IP000149,False,none
S000374,2025-11-20,Beauty,0.806,509,D000056,IP009156,False,none
S000375,2025-02-04,Books,0.861,372,D001083,IP006934,False,none
S000376,2025-09-26,Books,0.79,1966,D006286,IP005836,False,none
S000377,2025-09-30,Beauty,0.83,1409,D007419,IP002442,False,none
S000378,2025-05-19,Toys,1.0,795,D006526,IP007082,False,none
S000379,2025-04-06,Beauty,0.868,768,D003828,IP009462,False,none
S000380,2025-01-02,Electronics,0.895,118,D007537,IP006760,False,none
S000381,2025-12-08,Electronics,0.779,2561,D005791,IP002957,False,none
S000382,2025-12-12,Electronics,0.952,2525,D009259,IP003922,False,none
