transaction_id,seller_id,buyer_id,transaction_date,amount
T00000045,S000004,B0003882,2025-07-08,114.74
T00000046,S000004,B0013584,2025-07-05,42.7
T00000047,S000005,B0003869,2026-01-09,127.17
T00000048,S000005,B0003646,2026-02-01,58.07
T00000049,S000005,B0010456,2025-11-18,98.02
T00000050,S000005,B0011527,2026-01-10,10.16
T00000051,S000005,B0012931,2025-12-04,23.79
T00000052,S000005,B0006477,2025-12-04,54.64
T00000053,S000005,B0000741,2026-01-19,59.5
T00000054,S000005,B0006308,2026-01-15,27.33
T00000055,S000005,B0006042,2026-01-15,7.71
T00000056,S000005,B0008190,2025-11-21,10.13
T00000057,S000005,B0000388,2025-12-01,11.59
T00000058,S000005,B0011608,2025-12-05,14.05
T00000059,S000005,B0001256,2026-01-19,6.41
T00000060,S000005,B0005676,2026-01-09,77.54
T00000061,S000005,B0007417,2026-01-14,10.37
T00000062,S000005,B0000579,2025-11-20,9.17
T00000063,S000006,B0003712,2025-02-01,36.79
T00000064,S000006,B0010802,2025-02-07,18.66
T00000065,S000006,B0013852,2025-02-14,47.28
T00000066,S000006,B0000899,2025-02-08,32.65
T00000067,S000006,B0000218,2025-02-06,17.06
T00000068,S000006,B0008697,2025-02-20,140.69
T00000069,S000006,B0000935,2025-02-18,145.42
T00000070,S000006,B0001056,2025-02-19,53.66
T00000071,S000006,B0010769,2025-02-18,391.39
T00000072,S000006,B0006112,2025-02-20,276.82
T00000073,S000006,B0001527,2025-02-18,375.52
T00000074,S000006,B0000264,2025-02-20,222.48
T00000075,S000006,B0011139,2025-02-18,282.57
T00000076,S000006,B0001240,2025-02-18,496.26
T00000077,S000007,B0008007,2025-09-19,33.8
T00000078,S000007,B0002138,2025-09-25,61.48
T00000079,S000007,B0000093,2025-09-25,76.41
T00000080,S000007,B0011130,2025-09-13,64.53
T00000081,S000007,B0008133,2025-09-15,54.76
T00000082,S000007,B0014344,2025-10-04,361.13
T00000083,S000007,B0011629,2025-10-03,520.61
T00000084,S000007,B0002441,2025-10-03,138.73
T00000085,S000007,B0008675,2025-10-02,265.31
T00000086,S000007,B0008461,2025-10-03,161.08
T00000087,S000007,B0008298,2025-10-03,327.24
T00000088,S000007,B0007811,2025-10-04,80.76
T00000089,S000007,B0011143,2025-10-02,95.07
T00000090,S000007,B0013607,2025-10-02,475.86
T00000091,S000007,B0007581,2025-10-04,200.8
T00000092,S000007,B0005506,2025-10-04,41.83
T00000093,S000007,B0003359,2025-10-03,924.21
T00000094,S000007,B0005770,2025-10-02,166.83
T00000095,S000007,B0008750,2025-10-04,776.3
T00000096,S000007,B0007514,2025-10-02,412.05
T00000097,S000007,B0014723,2025-10-04,53.86
T00000098,S000007,B0014563,2025-10-03,180.27
T00000099,S000007,B0007448,2025-10-04,173.75
T00000100,S000008,B0011858,2025-04-27,20.55
T00000101,S000008,B0009830,2025-06-03,52.25
T00000102,S000008,B0008070,2025-04-18,51.85
T00000103,S000008,B0006947,2025-04-07,55.39
T00000104,S000008,B0013681,2025-05-27,31.69
T00000105,S000008,B0006819,2025-05-17,22.25
T00000106,S000008,B0012095,2025-05-28,51.86
T00000107,S000008,B0004369,2025-04-01,37.27
T00000108,S000008,B0007487,2025-04-24,19.78
T00000109,S000008,B0012965,2025-04-23,40.06
T00000110,S000008,B0012004,2025-03-23,86.97
T00000111,S000008,B0010646,2025-03-23,21.47
T00000112,S000008,B0003373,2025-04-21,84.32
T00000113,S000008,B0008314,2025-05-06,60.61
T00000114,S000008,B0012715,2025-04-01,103.78
T00000115,S000008,B0007649,2025-05-06,32.33
T00000116,S000008,B0011214,2025-05-03,44.65
T00000117,S000008,B0005302,2025-03-24,43.17
T00000118,S000008,B0009727,2025-05-15,17.84
T00000119,S000008,B0000147,2025-06-04,18.07
T00000120,S000009,B0013278,2025-03-02,24.81
T00000121,S000009,B0005741,2025-04-26,27.96
T00000122,S000009,B0009310,2025-03-30,46.55
T00000123,S000009,B0005503,2025-03-06,22.3
T00000124,S000009,B0013708,2025-03-17,64.2
T00000125,S000009,B0012564,2025-04-20,33.01
T00000126,S000009,B0005331,2025-04-15,29.42
T00000127,S000009,B0011872,2025-02-17,31.14
T00000128,S000009,B0005330,2025-04-30,45.73
T00000129,S000009,B0008641,2025-03-08,57.37
T00000130,S000009,B0014316,2025-02-08,36.12
T00000131,S000009,B0009341,2025-02-28,18.69
T00000132,S000009,B0002940,2025-04-05,12.08
T00000133,S000009,B0002793,2025-02-22,12.03
T00000134,S000009,B0010707,2025-03-18,51.25
T00000135,S000009,B0013922,2025-04-23,15.06
T00000136,S000009,B0000455,2025-03-18,6.74
T00000137,S000009,B0001910,2025-04-04,78.45
T00000138,S000009,B0007791,2025-04-05,36.74
T00000139,S000009,B0009240,2025-03-05,19.39
T00000140,S000009,B0008698,2025-02-10,59.54
T00000141,S000010,B0012818,2025-08-20,109.82
T00000142,S000010,B0000812,2025-07-25,20.86
T00000143,S000010,B0000163,2025-08-18,100.26
T00000144,S000010,B0003442,2025-08-12,13.2
T00000145,S000010,B0005125,2025-10-03,28.62
T00000146,S000010,B0008918,2025-09-08,16.15
T00000147,S000010,B0007320,2025-08-06,55.07
T00000148,S000010,B0007493,2025-08-12,17.07
T00000149,S000010,B0002358,2025-09-12,27.85
T00000150,S000010,B0007482,2025-08-22,14.96
T00000151,S000010,B0007438,2025-08-01,91.58
T00000152,S000010,B0007631,2025-09-16,11.31
T00000153,S000010,B0011551,2025-09-26,24.3
T00000154,S000010,B0014023,2025-07-25,13.91
T00000155,S000010,B0009881,2025-10-07,53.56
T00000156,S000010,B0004239,2025-09-19,20.14
T00000157,S000010,B0004371,2025-09-22,30.9
T00000158,S000010,B0001645,2025-08-14,84.2
T00000159,S000010,B0011522,2025-09-18,13.01
T00000160,S000010,B0001679,2025-08-21,43.73
T00000161,S000010,B0002299,2025-09-30,25.55
T00000162,S000011,B0001377,2026-03-02,51.17
T00000163,S000011,B0010091,2026-02-26,43.26
T00000164,S000011,B0006995,2026-01-15,91.52
T00000165,S000011,B0010215,2026-01-29,48.11
T00000166,S000011,B0009159,2026-02-28,35.65
T00000167,S000011,B0014955,2026-01-30,26.5
T00000168,S000011,B0007482,2026-02-24,52.09
T00000169,S000011,B0014501,2026-02-19,70.19
T00000170,S000011,B0000897,2026-01-08,59.54
T00000171,S000011,B0014209,2025-12-31,40.67
T00000172,S000011,B0013904,2026-01-09,22.13
T00000173,S000011,B0004135,2025-12-27,5.0
T00000174,S000011,B0006725,2026-03-10,69.27
T00000175,S000011,B0011515,2026-01-13,16.04
T00000176,S000011,B0013352,2026-03-10,59.32
T00000177,S000011,B0014519,2026-01-08,24.46
T00000178,S000011,B0002026,2026-03-21,41.33
T00000179,S000011,B0009515,2026-01-05,68.79
T00000180,S000011,B0005890,2026-03-18,49.8
T00000181,S000011,B0007497,2025-12-28,6.7
T00000182,S000011,B0007850,2026-03-16,55.98
T00000183,S000011,B0002870,2026-02-06,16.59
T00000184,S000012,B0011749,2025-12-11,155.84
T00000185,S000012,B0007317,2025-12-17,13.27
T00000186,S000012,B0011018,2025-12-11,23.23
T00000187,S000012,B0006285,2025-12-24,36.7
T00000188,S000012,B0011980,2025-09-27,58.55
T00000189,S000012,B0005429,2025-11-27,69.99
T00000190,S000012,B0006806,2025-11-12,32.4
T00000191,S000012,B0012944,2025-09-29,41.22
T00000192,S000012,B0012540,2025-10-21,45.1
T00000193,S000012,B0001850,2025-11-23,32.1
T00000194,S000012,B0012505,2025-09-28,35.75
T00000195,S000012,B0008351,2025-10-07,28.12
T00000196,S000013,B0004706,2025-11-24,18.76
T00000197,S000013,B0007752,2025-12-30,5.59
T00000198,S000013,B0012466,2025-11-14,114.23
T00000199,S000013,B0002087,2025-12-24,39.08
T00000200,S000013,B0006811,2025-12-21,92.5
T00000201,S000013,B0004460,2025-12-06,22.87
T00000202,S000013,B0008258,2025-11-06,17.42
T00000203,S000013,B0010304,2025-11-27,32.59
T00000204,S000013,B0006211,2025-12-04,38.98
T00000205,S000013,B0004406,2025-10-22,58.07
T00000206,S000013,B0012228,2025-12-22,53.75
T00000207,S000013,B0005294,2025-11-16,10.39
T00000208,S000013,B0013822,2025-11-23,19.85
T00000209,S000013,B0003186,2025-12-02,62.26
T00000210,S000013,B0010998,2025-12-01,49.96
T00000211,S000013,B0004376,2025-12-25,5.0
T00000212,S000013,B0014803,2025-12-08,12.44
T00000213,S000013,B0004828,2025-11-22,38.58
T00000214,S000013,B0004537,2025-11-16,105.74
T00000215,S000013,B0012625,2025-12-01,37.04
T00000216,S000013,B0003137,2025-10-05,19.14
T00000217,S000013,B0010545,2026-01-02,16.13
T00000218,S000013,B0006648,2025-10-18,54.97
T00000219,S000013,B0001934,2025-11-22,36.98
T00000220,S000014,B0002469,2025-11-04,12.89
T00000221,S000014,B0001245,2025-10-03,34.86
T00000222,S000014,B0011274,2025-12-16,59.14
T00000223,S000014,B0009830,2025-09-21,44.79
T00000224,S000014,B0000512,2025-10-11,45.32
T00000225,S000014,B0014654,2025-10-31,59.62
T00000226,S000014,B0011780,2025-12-02,89.34
T00000227,S000014,B0014278,2025-11-01,51.64
T00000228,S000014,B0011755,2025-10-16,53.84
T00000229,S000014,B0007315,2025-09-24,13.72
T00000230,S000014,B0005536,2025-11-19,35.98
T00000231,S000014,B0013542,2025-10-04,11.25
T00000232,S000014,B0003435,2025-11-20,64.75
T00000233,S000014,B0014647,2025-10-13,50.25
T00000234,S000014,B0000800,2025-10-20,41.29
T00000235,S000014,B0010405,2025-11-13,70.18
T00000236,S000014,B0000560,2025-10-30,18.29
T00000237,S000015,B0008217,2025-10-27,61.94
T00000238,S000015,B0001208,2025-11-05,10.01
T00000239,S000015,B0006833,2025-12-13,34.6
T00000240,S000015,B0008332,2026-01-01,32.2
T00000241,S000015,B0010595,2025-11-22,59.99
T00000242,S000015,B0005249,2025-12-17,39.43
T00000243,S000015,B0000428,2025-12-20,30.86
T00000244,S000015,B0009541,2025-12-14,7.74
T00000245,S000016,B0008827,2025-07-14,9.42
T00000246,S000016,B0012511,2025-09-02,7.7
T00000247,S000016,B0007647,2025-09-23,33.04
T00000248,S000016,B0006460,2025-09-25,17.23
T00000249,S000016,B0010649,2025-09-18,24.43
T00000250,S000016,B0014828,2025-09-13,24.45
T00000251,S000016,B0000756,2025-07-29,63.9
T00000252,S000016,B0013782,2025-09-01,5.0
T00000253,S000016,B0014792,2025-07-26,5.41
T00000254,S000016,B0012890,2025-09-21,28.12
T00000255,S000016,B0012529,2025-09-25,17.37
T00000256,S000016,B0010722,2025-07-31,68.69
T00000257,S000016,B0011283,2025-09-03,36.43
T00000258,S000016,B0006006,2025-10-01,29.63
T00000259,S000016,B0002892,2025-09-14,100.8
T00000260,S000016,B0001565,2025-09-12,69.19
T00000261,S000016,B0007316,2025-09-10,30.19
T00000262,S000017,B0011884,2025-03-03,30.61
T00000263,S000017,B0001258,2025-05-10,27.05
T00000264,S000017,B0000697,2025-05-16,22.15
T00000265,S000017,B0010422,2025-03-23,14.08
T00000266,S000017,B0014546,2025-02-24,16.18
T00000267,S000017,B0007016,2025-02-28,44.52
T00000268,S000017,B0002212,2025-03-03,20.5
T00000269,S000017,B0010770,2025-03-29,20.84
T00000270,S000018,B0000757,2026-01-16,12.04
T00000271,S000018,B0001741,2025-12-02,29.22
T00000272,S000018,B0013244,2025-11-13,40.98
T00000273,S000018,B0010835,2026-01-09,54.93
T00000274,S000019,B0010818,2025-07-18,19.07
T00000275,S000019,B0013210,2025-07-01,63.31
T00000276,S000019,B0006967,2025-09-06,13.45
T00000277,S000019,B0010383,2025-08-28,8.97
T00000278,S000019,B0010597,2025-06-29,7.94
T00000279,S000019,B0011464,2025-08-16,54.58
T00000280,S000019,B0010335,2025-07-07,73.78
T00000281,S000019,B0004082,2025-07-18,62.51
T00000282,S000019,B0007096,2025-08-22,65.18
T00000283,S000019,B0006219,2025-09-04,43.16
T00000284,S000019,B0000398,2025-07-18,40.99
T00000285,S000019,B0006293,2025-08-08,22.18
T00000286,S000019,B0013777,2025-07-22,76.36
T00000287,S000019,B0014028,2025-07-25,38.03
T00000288,S000019,B0006897,2025-09-06,58.13
T00000289,S000019,B0003957,2025-09-11,62.72
T00000290,S000019,B0007797,2025-08-01,81.48
T00000291,S000019,B0006774,2025-08-13,6.81
T00000292,S000019,B0014685,2025-08-05,16.76
T00000293,S000019,B0003850,2025-06-29,55.17
T00000294,S000019,B0002916,2025-06-27,26.35
T00000295,S000020,B0010672,2025-09-17,35.4
T00000296,S000020,B0006019,2025-07-24,11.73
T00000297,S000021,B0003399,2025-06-21,30.26
T00000298,S000021,B0009754,2025-06-11,122.25
T00000299,S000021,B0010539,2025-06-19,66.52
T00000300,S000021,B0014285,2025-07-24,31.82
T00000301,S000021,B0013247,2025-05-22,10.55
T00000302,S000021,B0010727,2025-05-21,50.5
T00000303,S000021,B0002116,2025-07-02,91.98
T00000304,S000022,B0002534,2025-03-14,43.7
T00000305,S000022,B0010133,2025-05-14,26.66
T00000306,S000022,B0000889,2025-03-23,34.65
T00000307,S000022,B0003088,2025-04-28,24.45
T00000308,S000022,B0004780,2025-06-05,94.52
T00000309,S000022,B0011626,2025-04-03,112.88
T00000310,S000022,B0012598,2025-05-12,100.86
T00000311,S000022,B0004699,2025-04-22,34.04
T00000312,S000022,B0014958,2025-05-22,32.43
T00000313,S000022,B0012055,2025-03-31,21.15
T00000314,S000022,B0000695,2025-04-14,8.19
T00000315,S000022,B0006667,2025-03-18,37.36
T00000316,S000022,B0000073,2025-05-28,126.5
T00000317,S000022,B0002665,2025-03-27,27.93
T00000318,S000023,B0013217,2026-01-13,17.68
T00000319,S000023,B0013078,2026-01-23,52.03
T00000320,S000023,B0012508,2026-01-31,76.82
T00000321,S000023,B0010541,2026-01-26,61.21
T00000322,S000023,B0011460,2026-01-09,22.71
T00000323,S000023,B0014215,2025-12-28,113.06
T00000324,S000023,B0007279,2026-01-07,25.72
T00000325,S000023,B0006697,2025-12-13,69.77
T00000326,S000023,B0013647,2026-02-02,19.0
T00000327,S000023,B0001684,2026-01-18,28.48
T00000328,S000023,B0007637,2026-01-30,17.03
T00000329,S000023,B0014396,2026-02-03,5.0
T00000330,S000023,B0003713,2026-01-01,29.08
T00000331,S000023,B0011160,2026-01-03,7.69
T00000332,S000023,B0012486,2026-02-20,5.52
T00000333,S000023,B0005252,2026-01-01,55.49
T00000334,S000023,B0000128,2026-02-08,41.87
T00000335,S000025,B0001259,2025-10-21,27.49
T00000336,S000025,B0001471,2025-09-24,19.22
T00000337,S000025,B0002860,2025-10-18,55.81
T00000338,S000025,B0013887,2025-09-17,35.55
T00000339,S000025,B0000325,2025-11-12,26.17
T00000340,S000025,B0013161,2025-09-27,27.21
T00000341,S000025,B0009092,2025-09-27,37.64
T00000342,S000025,B0003570,2025-10-03,54.1
T00000343,S000025,B0007138,2025-09-22,49.9
T00000344,S000025,B0002138,2025-09-02,62.78
T00000345,S000025,B0009041,2025-11-08,89.14
T00000346,S000025,B0012499,2025-08-24,59.46
T00000347,S000025,B0006626,2025-10-17,79.28
T00000348,S000025,B0011164,2025-11-02,32.87
T00000349,S000025,B0012722,2025-10-23,58.88
T00000350,S000025,B0009810,2025-10-25,5.0
T00000351,S000025,B0007838,2025-10-12,5.0
T00000352,S000025,B0008936,2025-09-27,23.01
T00000353,S000025,B0011792,2025-10-07,9.89
T00000354,S000026,B0001986,2025-07-18,40.29
T00000355,S000026,B0010967,2025-07-16,39.49
T00000356,S000026,B0004496,2025-06-13,10.77
T00000357,S000026,B0002379,2025-07-31,25.95
T00000358,S000026,B0000504,2025-06-22,10.98
T00000359,S000026,B0003959,2025-06-19,73.4
T00000360,S000026,B0004568,2025-06-21,34.83
T00000361,S000026,B0013135,2025-07-29,24.81
T00000362,S000026,B0014491,2025-07-17,47.59
T00000363,S000026,B0012709,2025-06-12,30.19
T00000364,S000026,B0000819,2025-07-21,18.19
T00000365,S000026,B0006373,2025-07-15,51.18
T00000366,S000026,B0009224,2025-06-06,8.6
T00000367,S000026,B0011197,2025-07-08,50.19
T00000368,S000026,B0010740,2025-06-16,14.6
T00000369,S000026,B0000027,2025-06-13,12.11
T00000370,S000026,B0001176,2025-07-24,102.02
T00000371,S000026,B0003847,2025-07-19,29.71
T00000372,S000026,B0008375,2025-05-27,11.57
T00000373,S000026,B0009025,2025-07-17,84.26
T00000374,S000026,B0011935,2025-05-29,46.08
T00000375,S000026,B0004375,2025-08-22,99.3
T00000376,S000026,B0002329,2025-06-11,93.6
T00000377,S000026,B0004471,2025-06-29,7.74
T00000378,S000027,B0005094,2026-01-15,37.58
T00000379,S000027,B0001988,2026-01-01,41.13
T00000380,S000027,B0014504,2025-11-10,16.6
T00000381,S000027,B0009256,2025-11-03,52.33
T00000382,S000027,B0007103,2026-01-18,30.66
T00000383,S000027,B0002121,2025-10-31,74.86
T00000384,S000027,B0011877,2026-01-25,25.54
T00000385,S000027,B0006439,2025-11-19,64.68
T00000386,S000027,B0006233,2025-12-17,24.83
T00000387,S000027,B0001479,2025-12-19,25.71
T00000388,S000027,B0004919,2025-11-25,14.88
T00000389,S000028,B0008739,2025-08-25,38.62
T00000390,S000028,B0000840,2025-09-24,57.71
T00000391,S000028,B0002293,2025-09-30,24.22
T00000392,S000028,B0007631,2025-10-07,25.52
T00000393,S000028,B0007423,2025-09-13,13.04
T00000394,S000028,B0007038,2025-09-19,5.09
T00000395,S000028,B0005279,2025-08-24,24.74
T00000396,S000028,B0009675,2025-09-17,9.5
T00000397,S000028,B0009730,2025-08-02,26.48
T00000398,S000028,B0008512,2025-09-11,22.84
T00000399,S000028,B0000295,2025-09-28,24.05
T00000400,S000028,B0002694,2025-08-30,7.68
T00000401,S000028,B0013914,2025-09-08,43.33
T00000402,S000028,B0010316,2025-08-26,33.06
T00000403,S000028,B0014194,2025-07-23,28.98
T00000404,S000029,B0007051,2025-07-02,49.22
T00000405,S000029,B0009237,2025-08-15,20.8
T00000406,S000029,B0012706,2025-07-15,54.59
T00000407,S000029,B0012742,2025-08-12,30.75
T00000408,S000029,B0000136,2025-09-04,31.62
T00000409,S000029,B0007889,2025-07-30,71.05
T00000410,S000029,B0010146,2025-08-22,22.81
T00000411,S000029,B0012805,2025-07-08,53.45
T00000412,S000029,B0001974,2025-07-09,37.55
T00000413,S000029,B0014415,2025-08-21,40.6
T00000414,S000029,B0002254,2025-07-12,65.41
T00000415,S000029,B0004728,2025-09-04,13.62
T00000416,S000029,B0002625,2025-07-26,17.48
T00000417,S000029,B0011837,2025-06-12,45.62
T00000418,S000029,B0014839,2025-06-22,8.81
T00000419,S000029,B0010024,2025-06-20,47.7
T00000420,S000029,B0011241,2025-07-12,48.59
T00000421,S000029,B0004435,2025-06-23,116.23
T00000422,S000029,B0010440,2025-07-14,37.65
T00000423,S000029,B0004417,2025-06-30,35.96
T00000424,S000029,B0014839,2025-08-01,30.06
T00000425,S000029,B0003824,2025-06-21,53.61
T00000426,S000029,B0004956,2025-08-28,26.08
T00000427,S000029,B0014310,2025-08-05,76.08
T00000428,S000029,B0009670,2025-08-17,75.93
T00000429,S000029,B0010262,2025-06-18,80.55
T00000430,S000029,B0009683,2025-08-14,26.29
T00000431,S000029,B0011605,2025-09-04,81.6
T00000432,S000029,B0004732,2025-09-07,26.85
T00000433,S000030,B0003346,2025-08-18,38.52
T00000434,S000030,B0010538,2025-07-14,35.48
T00000435,S000030,B0013271,2025-06-28,66.04
T00000436,S000030,B0005905,2025-08-19,23.32
T00000437,S000030,B0012738,2025-08-16,41.05
T00000438,S000030,B0011035,2025-07-30,23.14
T00000439,S000030,B0005664,2025-09-02,25.48
T00000440,S000030,B0010975,2025-08-14,25.53
T00000441,S000030,B0012842,2025-07-26,81.27
T00000442,S000030,B0013883,2025-08-02,11.67
T00000443,S000030,B0002633,2025-08-05,5.0
T00000444,S000031,B0003654,2025-06-21,50.83
T00000445,S000031,B0010468,2025-06-03,19.46
T00000446,S000031,B0014914,2025-03-29,52.27
T00000447,S000031,B0005647,2025-05-10,15.05
T00000448,S000031,B0006924,2025-06-13,7.71
T00000449,S000031,B0006448,2025-06-04,46.14
T00000450,S000031,B0001265,2025-06-12,54.6
T00000451,S000031,B0003471,2025-04-24,23.88
T00000452,S000031,B0006250,2025-04-29,35.87
T00000453,S000031,B0010405,2025-04-01,33.2
T00000454,S000031,B0000321,2025-04-14,44.07
T00000455,S000031,B0006937,2025-05-06,25.92
T00000456,S000031,B0005356,2025-03-27,70.82
T00000457,S000031,B0004086,2025-04-17,67.46
T00000458,S000032,B0003976,2025-02-23,62.61
T00000459,S000032,B0004004,2025-04-20,63.64
T00000460,S000032,B0012360,2025-04-28,104.69
T00000461,S000032,B0004690,2025-02-19,8.03
T00000462,S000033,B0005260,2025-08-10,17.36
T00000463,S000033,B0003139,2025-08-06,38.34
T00000464,S000033,B0004957,2025-08-24,192.68
T00000465,S000033,B0009678,2025-08-13,16.29
T00000466,S000033,B0014166,2025-10-01,36.55
T00000467,S000033,B0009856,2025-08-28,100.89
T00000468,S000033,B0006884,2025-07-24,23.6
T00000469,S000033,B0013861,2025-08-12,61.69
T00000470,S000033,B0005539,2025-08-17,5.88
T00000471,S000033,B0009488,2025-08-26,30.18
T00000472,S000033,B0002601,2025-09-15,5.82
T00000473,S000033,B0001462,2025-08-04,76.54
T00000474,S000033,B0011714,2025-10-04,46.61
T00000475,S000033,B0012220,2025-08-06,33.45
T00000476,S000033,B0010880,2025-08-21,34.03
T00000477,S000033,B0013365,2025-10-05,20.51
T00000478,S000033,B0007199,2025-08-17,20.39
T00000479,S000033,B0006462,2025-07-28,44.46
T00000480,S000033,B0013347,2025-09-26,56.68
T00000481,S000033,B0000031,2025-09-22,19.69
T00000482,S000033,B0009819,2025-10-13,101.1
T00000483,S000033,B0005115,2025-10-08,5.0
T00000484,S000033,B0007955,2025-09-22,9.59
T00000485,S000033,B0004912,2025-09-17,6.82
T00000486,S000033,B0014655,2025-09-21,30.61
T00000487,S000033,B0012252,2025-10-05,30.62
T00000488,S000034,B0012046,2026-01-28,115.68
T00000489,S000034,B0007750,2025-12-07,211.2
T00000490,S000034,B0014949,2025-12-04,163.99
T00000491,S000034,B0008581,2025-12-05,37.37
T00000492,S000034,B0010378,2025-12-13,79.31
T00000493,S000034,B0005926,2025-11-29,88.98
T00000494,S000034,B0008453,2026-02-02,161.69
T00000495,S000034,B0000977,2026-01-09,84.56
T00000496,S000034,B0003954,2026-01-20,59.34
T00000497,S000034,B0005988,2026-02-11,26.76
T00000498,S000035,B0005070,2025-03-21,29.77
T00000499,S000035,B0002544,2025-03-12,13.7
T00000500,S000035,B0014618,2025-01-26,17.02
T00000501,S000035,B0012657,2025-04-12,51.91
T00000502,S000035,B0012851,2025-03-18,31.15
T00000503,S000035,B0010421,2025-03-31,82.72
T00000504,S000035,B0012272,2025-04-03,52.57
T00000505,S000035,B0000368,2025-04-19,17.08
T00000506,S000035,B0004726,2025-04-09,67.83
T00000507,S000036,B0009182,2025-11-30,50.54
T00000508,S000036,B0005495,2026-01-31,46.99
T00000509,S000036,B0000064,2025-11-11,120.78
T00000510,S000036,B0009291,2026-01-09,25.04
T00000511,S000036,B0003983,2026-01-07,12.65
T00000512,S000036,B0006181,2025-11-10,13.2
T00000513,S000036,B0005016,2025-12-29,96.62
T00000514,S000036,B0014936,2026-01-05,5.0
T00000515,S000036,B0001231,2026-02-05,29.77
T00000516,S000036,B0007960,2025-12-16,44.7
T00000517,S000036,B0013230,2025-11-17,14.78
T00000518,S000036,B0007025,2025-12-04,45.23
T00000519,S000036,B0002134,2026-01-18,77.07
T00000520,S000036,B0004639,2025-12-03,7.69
T00000521,S000037,B0014764,2025-12-20,5.0
T00000522,S000037,B0008110,2025-11-11,34.89
T00000523,S000037,B0008329,2026-01-24,46.73
T00000524,S000037,B0005602,2025-11-20,6.75
T00000525,S000037,B0010547,2025-12-19,6.38
T00000526,S000037,B0014585,2026-01-25,49.74
T00000527,S000037,B0003429,2026-01-20,32.44
T00000528,S000037,B0011631,2025-12-18,23.74
T00000529,S000037,B0011834,2025-10-30,13.15
T00000530,S000037,B0005651,2025-11-24,73.1
T00000531,S000037,B0013956,2025-11-10,7.6
T00000532,S000037,B0014165,2025-12-27,9.95
T00000533,S000037,B0007545,2025-12-23,13.5
T00000534,S000037,B0008063,2025-11-10,5.0
T00000535,S000037,B0012051,2025-11-14,6.85
T00000536,S000037,B0002280,2025-11-24,18.84
T00000537,S000037,B0003686,2026-01-26,21.68
T00000538,S000037,B0004019,2025-11-16,19.89
T00000539,S000037,B0009824,2025-11-02,30.14
T00000540,S000037,B0008053,2026-01-08,91.76
T00000541,S000037,B0009635,2026-01-15,43.3
T00000542,S000037,B0010432,2026-01-23,61.23
T00000543,S000037,B0000078,2025-11-21,27.07
T00000544,S000037,B0006235,2025-11-23,12.88
T00000545,S000038,B0009095,2025-06-03,48.22
T00000546,S000038,B0009405,2025-05-05,63.07
T00000547,S000039,B0005573,2025-10-29,146.98
T00000548,S000039,B0001906,2025-10-08,56.32
T00000549,S000039,B0002140,2025-09-18,65.93
T00000550,S000039,B0001020,2025-10-23,28.81
T00000551,S000039,B0010734,2025-08-26,37.06
T00000552,S000039,B0005791,2025-11-16,27.26
T00000553,S000039,B0011273,2025-09-05,86.08
T00000554,S000039,B0010321,2025-09-21,47.06
T00000555,S000039,B0002351,2025-11-09,40.68
T00000556,S000039,B0000608,2025-11-12,5.45
