payout_id,seller_id,payout_date,amount,days_since_first_transaction
P000077,S000081,2025-09-17,1340.14,100
P000078,S000082,2025-05-31,514.08,83
P000079,S000083,2026-02-08,96.74,73
P000080,S000084,2025-12-06,447.83,106
P000081,S000085,2025-12-14,627.9,81
P000082,S000086,2025-05-15,451.05,72
P000083,S000087,2025-08-01,506.12,96
P000084,S000088,2026-01-24,1113.18,108
P000085,S000089,2025-12-23,17.08,27
P000086,S000090,2025-09-06,145.73,87
P000087,S000091,2026-02-01,698.05,100
P000088,S000092,2026-02-13,214.32,88
P000089,S000093,2025-09-15,558.07,116
P000090,S000094,2026-03-06,513.26,86
P000091,S000095,2025-08-08,447.86,112
P000092,S000096,2025-07-12,652.43,97
P000093,S000097,2025-12-12,768.33,96
P000094,S000098,2025-09-10,1802.39,12
P000095,S000099,2025-05-23,1755.49,80
P000096,S000100,2026-02-23,814.26,113
P000097,S000101,2025-06-12,514.38,81
P000098,S000103,2025-03-01,368.66,56
P000099,S000104,2026-02-03,435.94,106
P000100,S000105,2026-01-11,461.6,88
P000101,S000106,2026-01-29,458.51,103
P000102,S000107,2025-12-11,430.93,97
P000103,S000108,2025-10-01,62.57,87
P000104,S000109,2025-12-15,700.78,91
P000105,S000110,2025-08-05,407.18,114
P000106,S000111,2026-01-16,200.27,94
P000107,S000112,2025-11-08,687.17,109
P000108,S000113,2025-09-26,724.07,97
P000109,S000114,2025-10-21,866.49,103
P000110,S000115,2025-11-22,950.65,114
P000111,S000116,2025-03-03,15.89,22
P000112,S000117,2025-05-26,811.63,89
P000113,S000118,2025-07-26,282.01,112
P000114,S000120,2025-10-03,1164.62,110
P000115,S000121,2025-11-18,423.28,78
P000116,S000122,2025-12-04,763.23,99
P000117,S000123,2025-07-08,2245.47,16
P000118,S000124,2026-03-06,593.16,103
P000119,S000125,2025-10-26,1028.74,84
P000120,S000126,2025-05-12,928.72,103
P000121,S000127,2026-01-15,204.52,97
P000122,S000128,2025-11-16,476.39,107
P000123,S000130,2025-10-11,114.15,65
P000124,S000131,2025-09-01,143.18,27
P000125,S000132,2025-05-11,240.38,92
P000126,S000133,2025-11-09,252.9,105
P000127,S000135,2025-08-10,996.79,111
P000128,S000136,2025-11-17,666.17,92
P000129,S000137,2025-03-26,209.26,65
P000130,S000138,2025-08-23,904.16,108
P000131,S000139,2025-09-14,958.46,85
P000132,S000140,2026-03-29,273.45,94
P000133,S000141,2025-06-15,564.19,86
P000134,S000142,2025-07-22,415.55,101
P000135,S000143,2025-09-21,588.49,112
P000136,S000144,2026-04-08,1001.06,97
P000137,S000145,2026-02-18,549.76,99
P000138,S000147,2025-07-19,564.21,112
P000139,S000148,2026-01-26,292.25,89
P000140,S000149,2025-05-03,945.26,101
P000141,S000150,2026-02-07,1235.67,86
P000142,S000151,2025-07-16,697.94,92
P000143,S000152,2026-03-27,465.75,108
P000144,S000153,2025-07-30,996.38,102
P000145,S000154,2025-09-26,804.65,110
P000146,S000155,2025-09-24,2003.12,18
P000147,S000156,2025-05-28,460.01,94
P000148,S000157,2025-10-04,10.44,13
P000149,S000159,2026-01-28,785.17,104
P000150,S000160,2026-04-07,741.93,93
P000151,S000161,2025-12-05,455.03,96
P000152,S000162,2025-09-18,552.24,111
P000153,S000163,2025-09-16,179.34,104
P000154,S000164,2025-08-30,766.4,84
P000155,S000165,2026-02-19,699.22,116
P000156,S000166,2025-08-08,748.34,98
P000157,S000167,2025-06-13,434.34,102
P000158,S000168,2025-08-14,707.18,103
P000159,S000169,2025-03-06,40.3,34
P000160,S000170,2025-05-24,432.35,100
P000161,S000171,2025-05-24,704.07,111
P000162,S000172,2026-01-28,1076.65,103
P000163,S000173,2026-01-09,597.72,110
P000164,S000174,2025-12-18,527.58,97
P000165,S000175,2025-09-22,832.47,95
P000166,S000176,2025-12-31,941.37,92
P000167,S000177,2025-06-05,947.91,95
P000168,S000178,2026-02-19,900.21,85
P000169,S000179,2025-10-20,593.91,106
P000170,S000180,2026-03-17,149.42,90
P000171,S000181,2025-06-10,469.42,93
P000172,S000182,2025-10-18,284.93,96
P000173,S000183,2025-12-22,781.88,98
P000174,S000184,2025-10-04,237.82,90
P000175,S000185,2025-08-28,227.12,57
P000176,S000186,2025-06-12,328.87,99
P000177,S000187,2025-09-05,661.25,108
P000178,S000188,2025-07-13,399.56,98
P000179,S000189,2025-07-28,649.84,96
P000180,S000190,2025-12-09,878.11,89
P000181,S000192,2025-11-26,490.38,100
P000182,S000193,2025-08-11,1962.89,89
P000183,S000194,2026-03-27,1047.58,94
P000184,S000195,2025-05-18,604.36,102
P000185,S000196,2025-08-16,113.81,73
P000186,S000197,2025-05-23,926.66,96
P000187,S000198,2025-08-27,436.23,110
P000188,S000199,2026-04-03,212.78,99
P000189,S000200,2025-08-23,827.01,101
P000190,S000201,2026-03-18,354.69,109
P000191,S000202,2025-09-24,551.48,79
P000192,S000203,2025-12-18,762.87,93
P000193,S000204,2025-09-23,506.62,85
P000194,S000205,2025-07-12,991.98,95
P000195,S000206,2026-01-06,175.28,91
P000196,S000207,2026-04-11,506.28,108
P000197,S000208,2025-07-16,349.76,96
P000198,S000209,2026-01-11,157.37,83
P000199,S000210,2025-06-22,869.95,76
P000200,S000211,2025-12-27,612.49,98
P000201,S000212,2026-02-03,885.01,111
P000202,S000213,2025-10-07,561.47,114
P000203,S000214,2026-01-05,749.61,101
P000204,S000215,2025-07-28,240.47,90
P000205,S000216,2025-05-19,498.37,104
P000206,S000217,2025-05-11,1411.86,94
P000207,S000218,2025-09-21,201.12,87
P000208,S000219,2026-02-19,194.74,65
P000209,S000220,2025-05-29,89.9,81
P000210,S000221,2025-09-28,845.45,104
P000211,S000222,2026-01-02,516.46,105
P000212,S000223,2025-06-30,190.56,99
P000213,S000224,2026-01-11,816.33,112
P000214,S000225,2025-08-06,300.88,106
P000215,S000226,2026-01-27,247.1,93
P000216,S000227,2025-11-19,737.79,108
P000217,S000228,2025-10-11,106.75,56
P000218,S000229,2025-05-09,55.6,55
P000219,S000230,2025-09-24,287.51,87
P000220,S000231,2026-02-09,164.0,73
P000221,S000232,2025-04-12,170.9,79
P000222,S000233,2026-01-07,178.08,68
P000223,S000234,2025-10-08,512.67,99
P000224,S000235,2026-01-09,768.12,111
P000225,S000236,2025-12-05,1035.77,94
P000226,S000237,2025-09-02,161.93,75
P000227,S000238,2025-07-25,278.55,82
P000228,S000239,2025-11-27,472.0,99
P000229,S000240,2025-06-03,1214.65,102
P000230,S000241,2025-11-27,931.39,113
P000231,S000242,2025-05-18,627.64,98
P000232,S000243,2025-12-04,225.68,88
P000233,S000244,2025-11-24,322.91,94
P000234,S000245,2025-05-23,987.88,110
P000235,S000246,2026-01-24,441.41,104
P000236,S000247,2025-09-12,569.66,96
P000237,S000248,2026-01-14,95.42,90
P000238,S000249,2025-04-24,35.69,35
P000239,S000250,2025-06-04,496.76,84
P000240,S000251,2025-10-09,894.05,100
P000241,S000252,2025-06-18,101.93,40
P000242,S000253,2025-08-23,920.91,114
P000243,S000254,2025-12-22,664.83,101
P000244,S000255,2025-06-16,779.13,114
P000245,S000257,2025-04-26,303.9,61
P000246,S000258,2025-06-22,850.48,107
P000247,S000259,2025-11-08,517.23,89
P000248,S000260,2026-01-20,373.27,93
P000249,S000261,2025-06-10,795.17,87
P000250,S000262,2025-06-23,28.1,13
P000251,S000263,2026-03-17,832.64,96
P000252,S000264,2026-04-03,46.6,65
P000253,S000265,2025-08-29,3154.34,19
P000254,S000266,2025-09-17,778.24,95
P000255,S000267,2025-07-03,370.71,57
P000256,S000268,2025-11-18,875.19,98
P000257,S000269,2025-10-25,947.19,76
P000258,S000270,2025-08-02,217.8,88
P000259,S000271,2025-04-26,637.1,107
P000260,S000272,2025-06-19,879.14,95
P000261,S000273,2026-03-23,114.29,96
P000262,S000274,2025-09-05,763.32,95
P000263,S000275,2025-10-09,272.88,85
P000264,S000276,2025-09-19,294.57,81
P000265,S000277,2026-01-30,1019.06,108
P000266,S000278,2025-03-24,97.28,45
P000267,S000279,2025-05-25,779.99,111
P000268,S000280,2025-07-17,426.73,79
P000269,S000281,2025-10-03,95.96,43
P000270,S000282,2025-12-16,557.26,95
P000271,S000283,2025-10-04,422.43,97
P000272,S000284,2025-09-15,155.27,77
P000273,S000285,2026-03-14,805.82,95
P000274,S000286,2025-06-22,755.33,112
P000275,S000287,2025-11-03,725.02,94
P000276,S000288,2025-08-13,1726.21,21
P000277,S000289,2025-09-12,574.76,80
P000278,S000290,2026-02-08,185.14,109
P000279,S000292,2026-03-07,221.52,82
P000280,S000293,2025-08-01,776.31,91
P000281,S000294,2025-11-06,1067.32,111
P000282,S000295,2025-10-06,41.67,32
P000283,S000296,2026-02-12,137.77,87
P000284,S000297,2025-08-18,165.93,62
P000285,S000298,2025-07-22,559.2,91
P000286,S000299,2025-04-21,1026.7,103
P000287,S000300,2025-06-25,78.14,33
P000288,S000301,2026-02-05,14.27,26
P000289,S000302,2025-04-08,534.19,90
P000290,S000303,2026-03-01,712.89,96
P000291,S000304,2025-11-07,726.03,110
P000292,S000305,2025-05-19,450.89,86
P000293,S000306,2025-07-10,292.96,80
P000294,S000307,2025-09-25,282.66,64
P000295,S000309,2025-05-17,152.68,57
P000296,S000310,2025-12-01,258.02,81
P000297,S000311,2025-12-20,307.13,91
P000298,S000312,2025-05-23,528.65,91
P000299,S000314,2025-06-29,135.99,74
P000300,S000315,2025-12-09,340.62,86
P000301,S000316,2026-01-10,534.55,106
P000302,S000317,2025-12-27,287.57,84
P000303,S000318,2026-03-29,286.25,83
P000304,S000319,2025-11-03,2541.85,26
P000305,S000320,2025-08-13,943.25,105
P000306,S000321,2025-06-06,566.8,117
P000307,S000322,2025-11-30,818.18,104
P000308,S000323,2026-03-06,707.2,93
P000309,S000324,2026-03-23,2429.14,88
P000310,S000325,2025-06-25,492.27,85
P000311,S000326,2025-07-19,432.07,98
P000312,S000327,2025-04-29,303.16,98
P000313,S000328,2025-05-03,284.22,52
P000314,S000329,2025-11-07,355.17,91
P000315,S000330,2025-11-02,872.18,105
P000316,S000331,2025-08-14,147.48,74
P000317,S000332,2025-07-31,436.7,97
P000318,S000333,2026-01-15,558.55,75
P000319,S000334,2025-10-05,448.7,109
P000320,S000335,2026-01-25,630.92,94
P000321,S000337,2025-08-13,496.56,106
P000322,S000338,2025-07-04,762.65,111
P000323,S000339,2026-03-15,222.42,88
P000324,S000340,2025-10-31,492.72,65
P000325,S000341,2025-06-05,29.59,48
P000326,S000342,2025-11-22,680.73,99
P000327,S000343,2025-10-20,439.09,92
P000328,S000345,2025-07-14,354.49,76
P000329,S000346,2026-04-05,604.9,90
P000330,S000347,2026-03-19,850.08,95
P000331,S000348,2025-06-20,398.63,105
P000332,S000349,2025-06-21,511.48,96
P000333,S000350,2025-10-18,670.45,95
P000334,S000351,2025-04-13,234.4,76
P000335,S000352,2025-08-07,712.23,102
P000336,S000353,2025-09-20,264.73,77
P000337,S000354,2026-02-13,60.95,38
P000338,S000355,2026-01-19,4344.09,21
P000339,S000357,2026-03-14,730.86,104
P000340,S000358,2025-05-06,307.65,92
P000341,S000359,2025-12-20,129.72,64
P000342,S000360,2026-01-29,486.55,57
P000343,S000361,2026-03-11,847.99,108
P000344,S000362,2025-07-10,311.06,106
P000345,S000363,2026-02-16,586.54,83
P000346,S000364,2025-05-14,767.02,90
P000347,S000365,2025-10-31,494.54,114
P000348,S000366,2025-10-15,930.45,113
P000349,S000367,2025-08-01,505.56,97
P000350,S000368,2025-02-07,2836.01,28
P000351,S000369,2026-01-23,469.36,102
P000352,S000370,2025-08-16,734.71,96
P000353,S000371,2025-12-07,702.59,99
P000354,S000372,2025-09-23,916.74,107
P000355,S000373,2025-08-18,939.13,87
P000356,S000374,2026-03-03,954.96,102
P000357,S000375,2025-05-25,978.75,106
P000358,S000376,2026-01-05,808.43,99
P000359,S000377,2026-01-09,295.83,100
P000360,S000378,2025-08-27,72.54,90
P000361,S000379,2025-07-17,528.83,100
P000362,S000380,2025-04-19,904.64,107
P000363,S000381,2026-03-07,682.33,89
P000364,S000382,2026-04-05,578.26,109
P000365,S000383,2025-06-19,122.95,74
P000366,S000384,2025-04-22,83.27,29
P000367,S000385,2025-05-22,781.5,89
P000368,S000386,2025-05-12,318.79,107
P000369,S000387,2025-11-22,4345.12,17
P000370,S000388,2026-02-25,501.0,95
P000371,S000389,2025-06-12,766.47,91
P000372,S000390,2026-01-13,684.01,97
P000373,S000391,2025-06-04,2044.25,89
P000374,S000392,2025-09-03,845.2,105
P000375,S000393,2025-10-29,152.98,77
P000376,S000394,2025-12-18,1266.66,83
P000377,S000395,2026-02-22,710.43,98
P000378,S000396,2025-04-22,386.1,89
P000379,S000397,2025-06-25,1057.68,104
P000380,S000399,2025-07-19,133.24,21
P000381,S000400,2026-03-01,36.58,57
P000382,S000401,2025-11-08,3778.76,22
P000383,S000402,2025-08-09,941.93,104
P000384,S000403,2026-02-14,38.25,51
P000385,S000404,2025-10-20,1043.24,109
P000386,S000405,2025-10-23,566.42,108
P000387,S000406,2025-08-31,531.08,68
P000388,S000407,2025-05-28,892.24,94
P000389,S000408,2025-12-29,3552.13,8
P000390,S000409,2025-04-13,854.13,93
P000391,S000410,2025-06-05,795.72,92
P000392,S000411,2025-07-12,652.24,109
P000393,S000412,2025-07-20,390.01,89
P000394,S000413,2025-05-31,540.32,101
P000395,S000414,2025-04-20,408.56,85
P000396,S000415,2025-12-10,921.66,83
P000397,S000416,2026-04-11,302.43,111
P000398,S000417,2025-05-17,1011.84,91
P000399,S000418,2025-07-31,720.82,103
P000400,S000419,2025-10-27,822.19,104
P000401,S000420,2026-02-26,174.8,57
P000402,S000421,2025-12-26,428.65,106
P000403,S000422,2026-01-02,18.61,13
P000404,S000423,2025-10-11,134.76,52
P000405,S000424,2025-08-19,85.5,71
P000406,S000425,2025-05-28,350.29,74
P000407,S000426,2026-02-23,820.53,95
P000408,S000427,2026-01-31,246.3,102
P000409,S000428,2025-02-25,197.39,39
P000410,S000429,2025-12-26,931.05,98
P000411,S000430,2025-05-11,815.68,100
P000412,S000431,2025-12-31,145.12,88
P000413,S000432,2026-02-14,798.39,107
P000414,S000433,2025-06-02,650.77,101
P000415,S000434,2025-09-18,643.64,101
P000416,S000435,2025-05-31,823.12,105
P000417,S000436,2025-11-06,791.92,93
P000418,S000437,2026-03-14,590.46,96
P000419,S000438,2025-05-08,330.08,81
P000420,S000439,2025-09-18,676.97,112
P000421,S000440,2026-03-23,1549.49,91
P000422,S000441,2025-07-23,543.52,94
P000423,S000442,2025-06-06,951.61,107
P000424,S000443,2025-10-06,567.18,100
P000425,S000444,2025-10-12,339.46,76
P000426,S000445,2025-12-13,921.49,100
P000427,S000446,2025-08-05,894.39,93
P000428,S000447,2026-03-19,653.9,91
P000429,S000448,2025-09-17,157.83,31
P000430,S000449,2025-07-14,155.74,69
P000431,S000450,2026-04-14,786.67,114
P000432,S000451,2026-03-21,373.47,97
P000433,S000452,2025-10-05,1002.86,89
P000434,S000453,2025-04-09,17.31,87
P000435,S000454,2025-11-12,58.87,42
P000436,S000455,2025-10-31,417.45,101
P000437,S000456,2025-06-06,446.55,101
P000438,S000457,2025-11-10,33.33,24
P000439,S000458,2026-02-04,600.98,92
P000440,S000459,2025-05-07,54.8,18
P000441,S000460,2026-01-06,690.5,89
P000442,S000461,2025-05-22,526.64,89
P000443,S000462,2026-01-21,359.58,108
P000444,S000463,2025-09-23,708.26,113
P000445,S000464,2025-04-19,276.08,103
P000446,S000465,2026-01-22,37.68,25
P000447,S000467,2025-11-21,293.63,96
P000448,S000468,2025-06-15,329.79,90
P000449,S000469,2026-03-22,75.24,97
P000450,S000470,2026-01-14,1019.46,106
P000451,S000471,2026-01-30,243.56,90
P000452,S000472,2025-08-30,89.53,41
P000453,S000473,2025-07-20,1949.68,27
P000454,S000474,2025-12-06,310.35,107
P000455,S000475,2026-02-06,99.62,100
P000456,S000476,2026-02-21,685.04,100
P000457,S000477,2025-04-03,378.09,81
P000458,S000478,2025-12-12,674.08,99
P000459,S000479,2025-03-23,16.93,9
P000460,S000480,2025-07-30,340.5,96
P000461,S000481,2026-02-07,636.83,96
P000462,S000482,2025-07-07,569.7,85
P000463,S000483,2026-02-10,792.73,113
P000464,S000484,2025-09-21,131.11,76
P000465,S000485,2025-07-12,416.38,102
P000466,S000486,2025-08-04,89.85,92
P000467,S000487,2025-10-22,314.2,96
P000468,S000488,2025-12-31,190.65,62
P000469,S000489,2025-11-17,886.53,98
P000470,S000490,2026-02-13,83.04,66
P000471,S000491,2026-03-09,832.85,108
P000472,S000492,2026-01-14,657.23,101
P000473,S000493,2025-11-10,334.66,93
P000474,S000494,2025-07-13,658.99,84
P000475,S000495,2025-08-24,37.5,63
P000476,S000496,2025-05-09,107.73,68
P000477,S000497,2025-08-14,260.33,66
P000478,S000498,2026-03-07,665.76,61
P000479,S000499,2025-09-13,476.05,96
P000480,S000500,2025-06-01,712.25,109
P000481,S000501,2025-12-10,39.54,42
P000482,S000502,2026-03-25,368.65,91
P000483,S000503,2026-02-12,140.22,68
P000484,S000504,2025-07-11,438.22,87
P000485,S000505,2025-09-11,126.46,86
P000486,S000506,2025-11-08,934.33,118
P000487,S000507,2025-07-08,1007.53,94
P000488,S000508,2025-07-16,483.57,94
P000489,S000509,2025-07-02,934.0,82
P000490,S000510,2026-04-10,596.3,98
P000491,S000511,2025-12-28,732.97,82
P000492,S000512,2026-01-30,393.89,84
P000493,S000513,2026-01-23,301.63,73
P000494,S000514,2026-04-11,245.53,112
P000495,S000515,2025-05-22,932.06,103
P000496,S000516,2026-02-02,602.06,66
P000497,S000517,2025-03-17,98.69,50
P000498,S000518,2025-10-18,765.83,113
P000499,S000519,2025-11-22,861.05,103
P000500,S000520,2025-07-01,36.28,38
P000501,S000521,2025-05-24,98.2,69
P000502,S000522,2025-06-14,781.04,91
P000503,S000523,2026-02-11,663.4,85
P000504,S000524,2025-08-21,576.49,114
P000505,S000525,2025-08-10,184.51,102
P000506,S000526,2026-03-03,232.42,75
P000507,S000527,2025-06-04,474.26,102
P000508,S000528,2026-03-08,664.99,94
P000509,S000529,2026-02-04,209.81,55
P000510,S000530,2025-11-09,176.25,74
P000511,S000531,2025-06-02,754.13,85
P000512,S000532,2025-06-16,277.13,104
P000513,S000533,2025-07-25,898.2,102
P000514,S000534,2025-10-28,2426.4,90
P000515,S000535,2025-06-13,798.08,106
P000516,S000536,2025-09-30,704.81,105
P000517,S000537,2025-05-27,696.57,101
P000518,S000538,2025-11-03,627.58,101
P000519,S000539,2025-04-02,583.5,84
P000520,S000541,2025-02-19,3409.81,25
P000521,S000542,2025-07-08,728.3,112
P000522,S000543,2025-06-12,1013.63,99
P000523,S000544,2026-01-28,267.3,86
P000524,S000545,2025-04-17,715.48,65
P000525,S000546,2025-09-07,159.19,91
P000526,S000547,2025-11-21,118.71,101
P000527,S000548,2025-10-01,438.05,78
P000528,S000549,2025-12-19,401.03,101
P000529,S000550,2026-01-26,633.39,92
P000530,S000551,2025-08-23,694.03,84
P000531,S000552,2026-02-21,567.55,110
P000532,S000553,2025-08-04,960.49,98
P000533,S000554,2026-03-22,550.28,86
P000534,S000555,2025-10-08,234.07,93
P000535,S000556,2026-01-13,1033.5,108
P000536,S000557,2026-02-21,964.7,93
P000537,S000558,2026-01-18,827.72,88
P000538,S000559,2026-02-24,950.7,106
P000539,S000560,2025-10-22,883.9,93
P000540,S000561,2025-05-11,450.42,111
P000541,S000562,2025-09-28,691.45,89
P000542,S000563,2025-06-13,828.51,93
P000543,S000564,2026-02-27,329.37,74
P000544,S000565,2025-07-08,12.13,21
P000545,S000566,2025-07-03,151.45,83
P000546,S000567,2025-07-24,329.37,104
P000547,S000568,2025-11-22,443.4,81
P000548,S000569,2025-10-28,367.43,78
P000549,S000570,2026-03-01,94.29,67
P000550,S000571,2025-08-24,1406.01,83
P000551,S000572,2025-07-03,605.56,80
P000552,S000573,2025-04-27,762.59,87
P000553,S000574,2025-03-05,117.18,55
P000554,S000575,2025-09-03,860.41,109
P000555,S000576,2026-03-25,456.2,110
P000556,S000577,2025-10-28,876.95,102
P000557,S000578,2026-03-06,465.46,102
P000558,S000579,2025-05-24,867.2,102
P000559,S000580,2025-04-14,120.31,66
P000560,S000581,2026-02-06,330.56,96
P000561,S000582,2025-05-08,640.43,76
P000562,S000583,2025-04-25,198.82,83
P000563,S000584,2025-09-04,986.57,85
P000564,S000585,2026-03-01,256.41,75
P000565,S000586,2025-12-21,480.91,101
P000566,S000587,2025-05-24,550.6,103
P000567,S000588,2026-02-13,285.25,103
P000568,S000589,2026-01-28,649.12,84
P000569,S000590,2026-02-06,889.91,105
P000570,S000591,2026-03-15,844.16,101
P000571,S000592,2025-07-09,288.27,96
P000572,S000593,2026-03-23,340.26,85
P000573,S000594,2025-08-06,670.18,89
P000574,S000596,2025-11-05,239.62,93
P000575,S000597,2026-02-01,622.47,110
P000576,S000598,2025-11-07,137.51,79
P000577,S000599,2025-12-17,142.11,106
P000578,S000600,2025-11-11,1062.53,87
P000579,S000601,2026-01-20,79.48,99
P000580,S000602,2025-12-25,843.81,76
P000581,S000603,2025-06-03,355.23,99
P000582,S000604,2026-02-04,250.99,95
P000583,S000605,2025-10-15,718.12,90
P000584,S000606,2025-07-29,166.06,63
P000585,S000607,2025-10-28,563.88,107
P000586,S000609,2025-12-01,1450.5,16
P000587,S000610,2026-02-22,709.06,112
P000588,S000611,2025-09-22,247.41,91
P000589,S000612,2026-02-04,1229.17,111
P000590,S000613,2025-08-31,796.64,100
P000591,S000614,2025-12-07,273.98,86
P000592,S000615,2025-11-21,247.22,87
P000593,S000616,2025-07-18,254.84,89
P000594,S000617,2025-07-28,679.63,108
P000595,S000618,2025-05-03,344.49,95
P000596,S000619,2025-06-04,540.57,100
P000597,S000620,2025-09-29,517.46,106
P000598,S000621,2025-10-05,579.92,103
P000599,S000622,2025-06-01,182.73,67
P000600,S000623,2025-09-07,408.85,95
P000601,S000624,2025-11-28,692.9,109
P000602,S000625,2025-07-05,224.51,86
P000603,S000626,2025-08-16,272.98,91
P000604,S000627,2025-08-22,858.84,96
P000605,S000628,2025-10-09,650.94,97
P000606,S000629,2025-06-03,3828.57,16
P000607,S000630,2026-01-14,491.75,92
P000608,S000631,2025-07-23,595.45,74
P000609,S000632,2025-09-07,308.1,72
P000610,S000633,2025-08-22,51.6,82
P000611,S000634,2025-06-23,793.93,107
P000612,S000635,2025-10-11,46.32,31
P000613,S000636,2025-07-16,755.03,107
P000614,S000637,2025-08-13,635.06,116
P000615,S000638,2026-02-11,475.13,116
P000616,S000639,2026-04-01,220.36,97
P000617,S000640,2025-12-23,363.22,87
P000618,S000641,2026-03-21,557.61,102
P000619,S000642,2026-02-01,49.38,21
P000620,S000644,2026-02-03,662.01,113
P000621,S000645,2025-08-09,304.81,97
P000622,S000646,2025-10-12,214.68,115
P000623,S000647,2025-09-14,94.14,36
P000624,S000648,2026-03-27,396.9,93
P000625,S000649,2026-02-18,103.23,98
P000626,S000650,2025-10-10,603.29,102
P000627,S000651,2025-12-13,71.95,98
P000628,S000652,2025-06-26,352.29,102
P000629,S000653,2026-01-14,221.01,83
P000630,S000654,2025-10-27,611.88,94
P000631,S000655,2025-10-19,624.03,96
P000632,S000657,2025-12-05,274.95,94
P000633,S000658,2025-05-23,665.02,104
P000634,S000659,2025-07-20,956.48,89
P000635,S000660,2025-06-01,1754.61,85
P000636,S000661,2025-12-11,671.1,70
P000637,S000662,2025-05-01,301.61,101
P000638,S000663,2025-07-05,1029.75,111
P000639,S000664,2025-11-17,310.56,100
P000640,S000665,2025-10-28,25.63,9
P000641,S000666,2025-10-13,700.16,98
P000642,S000667,2026-03-03,181.12,92
P000643,S000668,2026-03-19,658.28,103
P000644,S000669,2025-05-24,81.32,79
P000645,S000670,2026-03-14,1572.5,90
P000646,S000672,2025-12-08,876.42,106
P000647,S000673,2025-05-06,2872.72,89
P000648,S000674,2025-11-09,96.8,56
P000649,S000675,2026-01-01,780.02,101
P000650,S000677,2025-05-27,773.95,114
P000651,S000678,2025-10-13,542.25,92
P000652,S000679,2026-03-20,33.2,101
P000653,S000680,2025-10-09,4127.48,17
P000654,S000681,2025-06-10,183.99,102
P000655,S000682,2026-03-17,331.01,79
P000656,S000683,2026-04-04,928.09,109
P000657,S000684,2025-06-19,141.47,101
P000658,S000685,2026-02-13,552.11,107
P000659,S000686,2025-09-09,277.56,98
P000660,S000687,2025-11-13,578.23,100
